	GSM4455458	GSM4455459	GSM4455460	GSM4455461	GSM4455462	GSM4455463	GSM4455464	GSM4455465	GSM4455466
KCND2	2	0	0	0	0	1	3	0	0
TSPAN12	7	0	2	0	0	1	4	1	0
ING3	756	1037	1364	1520	1771	937	887	456	815
CPED1	15	143	91	239	261	179	44	67	249
WNT16	5	7	2	7	20	18	12	7	10
FAM3C	100	1028	336	629	566	982	1214	486	546
LOC105375478	0	0	0	0	0	0	0	0	0
PTPRZ1	1	1	0	0	0	1	3	0	0
AASS	16	121	159	75	141	252	249	122	105
LOC102724527	0	0	0	0	0	0	1	0	0
FEZF1	0	0	0	0	0	0	2	0	0
FEZF1-AS1	0	0	0	0	0	0	0	0	0
CADPS2	0	2	1	0	0	1	13	3	0
LOC105375481	0	0	0	0	0	0	0	0	0
RNF133	1	0	0	0	0	0	1	0	0
RNF148	0	0	0	0	0	0	0	0	0
LOC105375482	0	0	0	0	0	0	0	0	0
TAS2R16	2	0	0	0	0	0	0	0	0
SLC13A1	1	0	0	0	2	1	4	0	0
IQUB	3	3	10	8	14	15	8	2	7
NDUFA5	512	1506	664	1475	1059	1610	1575	862	1218
ASB15	1	0	6	5	3	1	6	3	3
ASB15-AS1	0	0	0	0	0	0	0	0	0
LMOD2	0	4	8	9	25	9	3	1	3
WASL	274	612	182	654	889	636	481	216	446
HYAL4	0	0	0	0	2	5	8	2	0
HYAL6P	0	0	0	0	0	0	0	0	0
SPAM1	0	0	0	0	0	0	5	0	0
LOC105375483	0	0	0	0	0	0	1	0	0
TMEM229A	0	0	0	0	0	0	2	1	0
LOC105375484	0	0	0	0	0	0	0	0	0
LOC107986841	0	0	0	0	0	0	5	0	0
LOC101928211	0	0	0	0	0	0	0	0	0
LOC102724577	0	0	0	0	0	0	4	0	0
LOC107986842	0	0	0	0	0	0	0	0	0
GPR37	0	0	0	0	2	0	0	0	0
LINC03043	0	0	0	0	0	0	0	0	0
POT1	382	363	347	449	522	667	809	324	517
POT1-AS1	6	13	3	14	16	16	32	17	9
LINC02830	0	0	0	0	0	0	0	0	0
LOC101928283	0	0	0	0	0	1	0	0	0
LOC101928254	0	0	0	0	0	0	0	0	0
LOC100506664	1	0	0	0	0	0	0	0	0
LOC105375487	0	0	0	0	0	0	1	0	0
LOC105375488	0	0	0	0	0	0	0	0	0
GRM8	0	0	2	2	1	0	3	0	1
LOC101928357	0	0	0	0	0	1	2	0	0
LOC107986843	0	0	0	0	0	0	0	0	0
MIR592	0	0	0	0	0	0	0	0	0
GRM8-AS1	0	0	0	0	0	0	0	0	0
ZNF800	2145	3312	1663	3302	5363	3280	2431	834	2203
LINC03012	0	0	0	0	0	0	0	0	0
LOC105375490	2	0	0	0	0	0	0	0	1
GCC1	1217	966	765	1015	2842	772	1587	348	647
ARF5	3394	2375	1938	1999	2553	2153	2007	1899	2095
LOC105375489	298	223	215	257	348	258	228	446	304
FSCN3	9	1	4	7	18	3	5	3	6
PAX4	0	0	0	0	0	0	0	0	0
SND1	1661	3914	1454	4062	3525	4473	6862	3481	4274
LOC105375492	39	8	43	4	30	12	11	24	14
SND1-IT1	3	13	11	9	42	121	200	145	132
LRRC4	1507	500	1568	247	838	74	57	50	204
MIR593	0	1	2	0	0	6	1	0	0
LOC105375493	1	0	0	0	1	0	0	0	3
MIR129-1	0	0	0	0	0	0	0	0	0
LOC105375494	5	7	25	6	26	1	0	0	2
LEP	4	0	1	3	4	1	3	0	1
RBM28	112	1012	316	1101	519	1467	1454	843	887
PRRT4	7	97	23	8	11	9	7	5	3
LOC107986845	57	28	22	31	68	25	12	56	41
IMPDH1	8365	2878	3038	2921	4471	2367	1158	1898	2686
HILPDA-AS1	45	12	129	15	14	25	53	17	10
HILPDA	301	21	140	27	43	26	129	20	15
METTL2B	56	271	143	283	255	294	472	168	262
LOC101928451	586	1865	1037	1721	1456	1210	795	334	782
LINC01000	1364	2516	1558	2854	3023	4510	3691	1312	2747
GARIN1A	28	32	55	48	110	57	56	54	49
GARIN1B	1	0	2	2	0	0	0	0	1
CALU	557	1918	961	1927	1776	1282	2607	888	1075
OPN1SW	4	17	15	30	16	31	30	10	23
TRP-AGG2-3	0	0	0	0	0	0	0	0	0
CCDC136	4	65	31	216	92	239	210	151	132
LOC107986846	0	0	0	0	0	1	1	6	0
FLNC	3	6	3	9	16	4	4	1	3
FLNC-AS1	0	0	2	2	11	0	0	0	0
ATP6V1F	1587	2904	1773	2489	2039	1696	2106	1214	1611
ATP6V1FNB	15	26	42	73	91	38	34	45	84
KCP	1	19	5	20	7	19	36	37	20
LOC105375497	0	0	1	0	0	0	3	0	0
IRF5	597	3699	823	3371	1974	1120	1873	929	2440
TNPO3	5778	1910	1574	2051	1699	2085	2382	1505	1666
TPI1P2	161	85	106	44	56	38	64	21	44
LOC407835	58	50	43	56	64	54	49	43	41
TSPAN33	133	1392	663	1065	409	1723	2777	1024	1304
SMO	1	9	6	6	7	11	9	1	15
AHCYL2	178	208	222	514	467	937	767	145	882
LOC105375500	0	0	4	4	6	11	8	3	12
LOC107986847	1	1	0	8	3	11	11	7	10
STRIP2	9	41	15	50	32	87	240	15	23
SMKR1	2	8	1	10	10	48	37	38	22
LOC107986848	3	1	0	43	13	125	69	57	29
NRF1	691	872	561	1005	755	1078	1086	623	685
LOC105375501	0	0	0	1	2	0	4	0	0
MIR182	0	0	0	0	0	0	0	0	0
MIR96	0	0	0	0	0	0	0	0	0
MIR183	0	0	0	0	0	0	0	0	0
UBE2H	22222	2822	7074	3571	3682	3735	2091	1469	2789
ZC3HC1	119	316	152	324	213	303	435	268	221
KLHDC10	1034	842	589	1155	911	1214	1126	422	887
LINC03008	0	1	0	0	0	4	2	1	1
TMEM209	159	961	240	909	389	847	1198	385	613
SSMEM1	0	3	2	1	1	2	3	1	2
CPA2	0	0	2	0	0	0	0	0	0
CPA4	0	0	1	0	0	0	1	2	0
LOC105375503	0	0	0	0	0	0	1	0	0
CPA5	1	13	1	0	3	5	2	10	4
LOC105375504	0	1	1	0	0	1	0	0	0
CPA1	0	0	0	0	0	0	0	0	0
CEP41	55	89	51	78	112	395	278	282	211
LOC105375505	1	0	0	0	0	0	0	0	0
MEST	61	73	233	62	90	259	91	119	150
MESTIT1	0	1	1	0	0	2	0	2	1
MIR335	0	0	0	0	0	1	1	0	0
COPG2	577	229	179	311	228	382	472	194	380
COPG2IT1	0	1	0	4	5	32	11	14	7
TSGA13	14	9	4	5	4	8	5	1	5
KLF14	107	1	2	0	0	1	0	0	1
LOC105375508	292	3	18	4	3	3	5	6	4
LOC105375509	115	2	9	0	2	1	1	1	0
MIR29A	1	3	1	1	1	0	0	0	2
MIR29B1	2	0	0	0	1	1	0	0	0
LINC-PINT	1236	1793	2726	2011	3200	1197	851	620	965
LINC00513	53	12	40	6	90	16	18	56	44
MKLN1	2027	2357	2615	3488	3105	2303	1928	1075	2122
MKLN1-AS	9	17	14	22	20	33	47	17	24
PODXL	16	40	20	52	74	82	71	36	61
LOC107986849	0	0	0	0	0	0	0	0	0
LOC101928782	0	0	0	0	0	0	0	0	0
PLXNA4	10	118	60	181	171	206	114	58	136
LOC101928807	0	0	0	0	0	0	0	1	0
LOC105375511	0	0	0	0	0	1	0	0	1
LOC102724906	0	1	0	0	1	0	0	0	0
FLJ40288	0	0	0	0	0	0	1	1	0
LOC100506937	0	0	0	0	0	0	0	0	0
CHCHD3	496	543	314	647	816	896	930	446	795
MIR3654	478	2245	1021	2097	2458	2900	3278	3651	1867
LOC105375512	0	0	0	0	0	0	0	0	0
EXOC4	1274	1658	602	1673	980	1486	1229	1116	1428
MIR6133	0	0	0	0	0	1	0	0	0
LOC101928861	0	1	0	0	3	5	2	6	7
LOC105375513	12	23	7	33	36	91	71	133	48
LOC105375514	7	8	2	8	17	54	40	84	28
LRGUK	7	15	14	27	45	34	30	23	31
SLC35B4	121	460	126	540	316	688	572	382	492
LOC105375518	0	0	0	0	0	0	0	0	0
LOC105375517	0	0	0	0	0	0	3	0	2
LINC03060	0	2	0	2	0	6	6	1	2
AKR1B1	122	975	378	1113	1063	1576	1918	1213	1079
AKR1B10	0	0	0	0	0	0	2	0	0
LOC105375520	0	0	1	1	1	0	3	1	0
AKR1B15	0	0	1	0	0	0	3	0	1
BPGM	680	1030	1720	1278	726	846	914	288	717
LOC107986850	0	0	0	0	4	3	5	1	6
CALD1	9	144	128	138	60	459	79	253	278
AGBL3	18	47	115	245	84	130	232	48	62
CYREN	1680	1884	3328	2125	2600	2157	2682	1123	1846
TMEM140	722	780	1493	725	1112	646	956	306	678
WDR91	385	697	539	1098	1255	952	795	441	774
MIR6509	0	3	3	2	0	1	0	0	1
STRA8	3	0	25	1	0	0	0	0	0
LOC107984123	0	1	2	0	0	1	5	0	1
CNOT4	1514	921	1243	1212	1139	933	866	403	664
NUP205	306	2090	715	2598	1587	1929	1645	833	1372
STMP1	2818	2506	1773	1819	1319	2155	1353	1575	2081
SLC13A4	1	3	2	10	5	44	47	28	25
LOC105375521	4	7	1	8	14	37	53	51	20
FAM180A	0	0	0	1	2	2	4	1	1
LOC105375522	0	0	0	0	0	0	0	0	0
LUZP6	9035	8337	8008	6734	5025	5095	2940	1999	6085
MTPN	9035	8337	8008	6734	5025	5095	2940	1999	6085
LOC105375523	12	16	8	28	44	68	25	23	73
LOC105375524	0	0	0	0	0	0	0	0	0
CHRM2	0	0	0	0	0	0	2	1	1
LOC349160	0	0	0	0	1	0	2	1	0
MIR490	0	0	0	0	0	0	0	0	0
LOC105375525	0	0	0	0	0	0	0	0	0
PTN	0	1	0	0	1	1	1	2	0
LOC105375527	0	0	0	0	0	0	0	0	0
DGKI	0	3	2	6	1	11	28	4	4
CREB3L2	698	1584	1091	1878	1101	1727	1831	757	1237
CREB3L2-AS1	0	0	0	0	2	1	2	0	0
AKR1D1	0	0	0	0	0	0	3	0	1
MIR4468	0	0	0	0	0	0	0	0	0
LOC107986749	0	0	0	0	0	0	1	0	0
TRIM24	469	785	422	919	1384	1029	762	466	787
SVOPL	2	4	0	5	6	9	6	9	7
ATP6V0A4	0	1	0	0	0	0	1	0	1
TMEM213	0	1	0	1	1	2	5	6	2
KIAA1549	0	5	7	7	12	22	24	3	11
ZC3HAV1L	3	77	41	64	16	148	139	65	96
LOC107986852	2	17	9	10	3	19	7	23	15
ZC3HAV1	13976	7028	20832	12080	12777	9372	6788	5765	7677
MIR10399	208	94	351	167	154	220	176	98	140
TTC26	61	28	184	23	91	52	83	19	36
UBN2	337	606	482	793	684	1211	1255	642	802
LUC7L2	863	1776	1110	2052	2091	1797	1946	1152	1262
FMC1	35	29	29	38	54	61	87	73	55
TRR-CCT4-1	1	0	2	0	8	1	1	1	1
FMC1-LUC7L2	752	1419	979	1719	1808	1624	1813	1139	1167
LOC100129148	137	268	155	276	308	285	314	160	180
KLRG2	0	1	0	1	2	3	4	1	2
CLEC2L	0	7	5	7	10	64	1	40	25
HIPK2	2300	11296	3849	9051	1841	4227	3856	1909	2615
LOC105375530	1	24	0	3	0	2	7	0	0
TBXAS1	14093	2741	5320	3874	4014	1556	398	972	3245
LOC107986853	847	1650	640	839	382	141	89	39	253
LOC105375532	1029	879	1339	1411	551	429	79	276	494
PARP12	1723	2342	2020	2129	3057	3031	4997	2182	5301
KDM7A	3785	7062	3522	7729	4250	4591	2873	1347	4420
KDM7A-DT	137	241	79	149	131	442	471	162	303
LOC107986854	1	0	1	4	1	1	2	1	12
LOC105375534	12	0	17	1	7	0	0	0	3
SLC37A3	2372	540	935	719	435	689	916	343	598
RAB19	126	71	63	47	33	64	170	40	28
MKRN1	7561	5378	8116	7200	7214	5362	4659	2873	5951
DENND2A	3	2	1	3	4	1	7	7	1
LOC105375535	0	0	2	1	0	1	1	1	2
LOC107986718	0	2	0	3	3	13	7	1	8
ADCK2	77	275	84	325	379	477	468	377	453
NDUFB2-AS1	32	131	70	140	139	164	125	199	147
NDUFB2	136	508	165	392	517	630	607	914	637
BRAF	2233	3065	3258	3552	2825	1897	2010	565	1438
LOC105375536	2	2	5	5	79	3	5	4	3
LOC107986720	1	0	0	0	0	0	0	0	0
MRPS33	51	246	109	237	264	424	923	411	344
LOC107986719	0	0	0	0	0	0	0	0	0
LOC105375537	0	0	1	0	0	0	0	0	0
TMEM178B	0	15	3	15	5	33	109	3	31
AGK-DT	0	1	1	3	1	1	4	5	1
AGK	269	2330	529	2515	1503	3685	3573	1053	2085
DENND11	154	2119	455	2298	1418	2598	2588	639	1584
WEE2-AS1	6	8	10	23	18	21	44	19	29
WEE2	4	6	4	2	10	6	12	4	12
SSBP1	616	1788	727	1673	1197	1435	1694	1162	1205
TAS2R3	0	0	0	1	2	0	1	0	0
TAS2R4	0	0	2	1	3	3	12	1	5
TAS2R5	2	1	3	6	8	15	49	9	10
PRSS37	1	0	3	0	0	0	15	3	3
OR9A4	16	3	50	9	6	2	0	0	10
CLEC5A	5737	1706	2518	922	513	252	965	50	534
TAS2R38	5	0	7	2	0	0	0	0	0
MGAM	58062	1820	12856	983	2437	91	116	28	118
MGAM2	1081	34	220	22	111	3	9	0	4
MOXD2P	0	0	0	0	0	0	0	0	1
PRSS58	0	0	2	0	0	0	0	0	0
PRSS59P	0	0	0	0	1	1	0	1	0
TRBV1	0	5	0	10	3	16	6	10	8
TRBV2	5	109	27	161	84	223	192	111	196
LOC105375539	9	16	9	49	21	44	52	26	28
TRBV3-1	4	83	16	178	62	292	156	87	100
TRBV4-1	9	40	9	51	75	193	158	62	84
TRBV5-1	10	129	26	126	149	354	243	194	220
TRBV6-1	3	41	1	61	41	92	108	65	77
TRBV7-1	0	2	2	8	3	11	10	11	7
TRBV4-2	0	57	8	76	17	147	147	60	36
TRBV6-3	1	64	13	62	21	105	109	74	31
TRBV7-2	9	114	16	160	62	281	298	129	157
TRBV8-1	0	0	0	0	0	1	0	0	0
TRBV5-2	0	0	0	0	0	0	0	0	0
TRBV6-4	0	6	1	12	55	42	41	50	20
TRBV7-3	5	19	7	38	29	90	64	35	47
TRBV8-2	2	0	1	2	0	2	1	0	1
TRBV5-3	0	1	1	4	2	10	10	8	7
TRBV9	5	48	22	46	39	174	86	61	59
TRBV10-1	0	6	1	7	11	14	22	6	13
TRBV11-1	1	9	1	10	3	23	24	18	7
TRBV12-1	0	1	0	0	4	0	3	0	2
TRBV10-2	0	8	0	9	6	29	39	14	25
TRBV11-2	4	58	5	44	20	126	100	52	51
TRBV12-2	0	3	1	0	1	5	2	2	2
TRBV6-5	1	35	16	60	35	137	167	87	75
TRBV7-4	1	13	5	14	6	40	15	21	10
LOC107986855	0	29	12	44	36	110	93	32	65
TRBV5-4	1	32	4	44	26	99	116	44	61
LOC105379749	5	44	16	104	19	110	48	35	56
TRBV6-6	1	21	3	110	25	142	69	41	45
TRBV7-5	1	13	2	10	8	21	11	14	15
MIR11400	0	2	0	1	2	2	0	2	4
TRBV5-5	0	12	13	31	21	45	32	26	22
TRBV6-7	0	2	0	2	2	6	0	5	2
TRBV7-6	0	21	3	57	19	51	44	33	33
TRBV5-6	2	28	5	34	22	156	80	46	45
TRBV6-8	0	3	0	4	3	13	7	6	8
TRBV7-7	0	8	0	11	11	19	8	12	12
TRBV5-7	1	4	4	9	5	31	21	10	11
TRBV7-9	4	115	28	198	95	238	266	131	189
TRBV13	0	11	4	82	12	290	33	39	26
TRBV10-3	4	41	7	58	25	120	143	54	65
TRBV11-3	1	3	4	6	4	22	15	15	8
TRBV12-3	2	33	16	70	129	179	129	66	74
TRBV12-4	2	37	72	59	90	205	119	82	80
TRBV12-5	0	4	19	7	5	22	25	11	20
TRBV14	0	137	9	45	55	166	111	58	47
TRBV15	0	56	1	55	36	97	62	39	45
TRBV16	0	0	0	0	3	11	3	1	3
TRBV17	0	0	0	0	0	0	0	1	0
TRBV18	0	93	4	46	46	181	187	61	77
TRBV19	1	148	19	165	77	311	345	171	237
TRBV20-1	3	520	17	278	244	523	424	259	268
TRBV21-1	3	24	3	25	25	50	50	26	28
TRBV22-1	0	0	0	0	0	0	0	2	0
TRBV23-1	2	35	6	70	45	211	59	91	84
TRBV24-1	0	47	3	29	13	102	74	47	49
MTRNR2L6	685	889	727	421	1553	838	590	2778	977
TRBV25-1	2	20	7	35	8	177	67	43	38
TRBVA	0	0	0	0	0	0	1	0	0
TRBV26	0	0	0	1	0	0	0	0	0
TRBVB	0	1	0	0	0	1	0	0	2
TRBV27	0	74	3	98	28	191	218	98	151
TRBV28	5	425	27	1317	217	650	404	347	240
PRSS1	4	118	19	145	105	349	170	123	187
TRBV29-1	4	117	19	142	103	345	170	118	185
PRSS2	2	1	1	6	0	9	13	4	8
TRBD1	1	6	2	27	22	47	50	23	36
TRBJ1-1	3	23	7	30	41	105	139	35	45
TRBJ1-2	1	24	4	49	46	87	53	76	41
TRBJ1-3	0	30	3	24	25	60	90	21	65
TRBJ1-4	1	29	0	49	36	63	67	34	68
TRBJ1-5	3	71	16	63	88	165	171	77	118
TRBJ1-6	1	49	3	44	28	121	78	42	65
TRBC1	149	3099	553	3789	3144	8413	9005	6665	4186
TRBD2	0	0	0	4	1	5	6	6	3
TRBJ2-1	5	134	28	224	117	310	289	168	147
TRBJ2-2	2	28	4	55	32	106	73	72	67
TRBJ2-2P	2	15	4	29	16	55	39	46	33
TRBJ2-3	2	110	7	92	91	198	163	175	102
TRBJ2-4	2	33	8	56	28	101	79	50	58
TRBJ2-5	2	25	5	47	23	79	68	55	48
TRBJ2-6	2	42	7	46	25	63	52	49	49
TRBJ2-7	5	71	7	105	72	308	231	173	132
TRBC2	206	5973	752	7870	4449	16573	13960	11834	6503
TRBV30	0	25	8	56	20	41	70	26	53
LOC105375541	2	50	26	78	43	70	72	57	54
EPHB6	222	324	61	581	714	1231	753	723	837
TRPV6	3	5	2	7	13	18	14	1	12
TRPV5	3	1	0	5	1	0	2	0	2
LOC105375542	1	0	0	0	4	1	1	0	0
LOC105375543	0	0	0	0	3	1	1	1	2
LLCFC1	3	0	0	0	2	2	1	0	0
KEL	11	10	7	6	13	7	27	4	11
OR9A2	0	0	0	0	0	0	0	1	0
LOC105375544	3	0	0	0	0	2	0	0	2
OR6V1	0	0	0	0	0	0	1	1	1
OR6W1P	0	0	0	0	0	1	2	0	0
PIP	0	0	0	1	0	0	0	0	1
TAS2R39	0	0	0	0	0	0	1	0	0
TAS2R40	131	3	54	5	7	1	0	0	0
LOC105375546	3	4	3	3	6	3	3	1	4
TMEM139-AS1	0	0	0	2	1	3	4	0	0
GSTK1	5649	5988	5647	5124	5100	7068	5305	5296	6910
TMEM139	0	2	4	7	5	10	37	8	7
CASP2	1681	1659	622	2666	1056	2361	2569	929	1588
CLCN1	48	9	4	10	14	1	2	1	20
FAM131B	1814	780	532	776	704	414	247	89	418
FAM131B-AS1	1	0	1	2	0	0	2	1	0
FAM131B-AS2	1326	332	721	651	742	369	218	181	357
ZYX	50570	17097	14877	18486	15802	10982	5387	3560	11279
MIR6892	3	8	3	2	4	3	1	1	2
EPHA1	3807	1413	1231	1598	1440	1521	895	903	1259
EPHA1-AS1	14	42	108	121	56	174	70	170	97
TAS2R60	1	1	5	5	3	3	0	1	1
TAS2R41	0	1	1	0	0	1	1	0	0
LOC105375547	8	95	31	50	30	37	12	86	31
OR10AC1	0	0	0	0	0	0	0	0	0
CTAGE15	26	26	18	12	12	19	63	16	12
LOC101928466	6	30	17	43	14	35	100	25	26
TCAF2	2205	1920	710	1472	698	1461	2791	411	1047
CTAGE6	20	23	15	13	7	20	62	11	11
TCAF2P1	373	353	112	261	127	224	304	58	152
LOC154761	684	650	165	409	205	519	768	176	344
LOC112267988	8	31	20	43	17	28	78	19	25
TCAF1	64	465	146	503	193	883	572	404	529
LOC105375549	0	4	1	9	5	10	30	27	4
OR2F1	0	0	0	0	0	0	1	0	0
OR2F2	0	0	0	0	0	0	0	0	0
OR6B1	0	0	0	0	0	0	0	0	0
OR2A5	0	0	0	1	0	0	0	0	0
LOC105375548	0	0	0	0	0	0	0	0	0
OR2A25	0	0	1	1	0	2	2	1	0
OR2A12	0	0	0	0	0	0	0	0	0
OR2A2	0	0	0	0	0	0	0	0	0
OR2A14	0	0	0	1	0	0	0	0	0
CTAGE4	23	34	27	19	16	24	52	23	14
ARHGEF35	95	86	75	79	39	59	64	60	24
ARHGEF35-AS1	22	36	33	66	34	90	50	57	27
LOC112267987	1	7	10	24	11	24	11	10	11
OR2A42	2	5	3	7	3	11	4	6	5
OR2A1-AS1	17	35	28	54	32	77	42	74	24
OR2A20P	20	34	37	48	25	70	57	47	16
OR2A7	2	12	8	10	2	9	6	4	2
ARHGEF34P	120	195	76	132	44	82	98	55	33
CTAGE8	27	42	34	22	14	29	59	31	11
OR2A9P	21	37	33	50	21	81	73	51	21
OR2A1	2	4	4	7	3	9	3	4	4
ARHGEF5	193	265	133	212	83	116	154	111	54
NOBOX	0	1	0	0	1	0	0	0	0
TPK1	2079	262	287	348	423	676	307	276	658
LOC105375552	0	0	0	0	0	0	0	0	0
LOC105375551	1	12	10	11	11	18	12	10	13
LOC105375553	0	0	0	0	0	0	0	0	0
CNTNAP2	3	29	4	16	32	212	101	46	17
CNTNAP2-AS1	0	0	0	0	0	0	1	0	0
MIR548F4	0	0	0	0	0	0	0	0	0
LOC107986721	0	0	0	0	0	0	0	0	0
LOC105375556	0	0	0	0	0	0	0	0	0
LOC105375554	0	2	0	1	4	13	4	8	1
C7orf33	0	0	0	0	0	0	2	0	0
LOC105375557	0	0	0	0	0	0	0	0	2
CUL1	1054	2958	1597	2477	2569	2693	4730	1463	4199
EZH2	354	828	519	655	1266	560	993	415	448
RNY5	2	1	1	0	34	1	1	0	2
RNY4	4	1	1	1	3	1	1	0	1
RNY3	0	1	0	2	4	2	1	3	4
RNY1	7	3	3	1	13	2	0	1	0
GHET1	0	1	5	5	9	8	11	6	2
PDIA4	894	4242	1421	2509	1207	3231	7605	5094	2307
ZNF786	165	166	20	221	135	298	449	157	160
ZNF425	18	22	11	28	14	25	77	20	20
ZNF398	568	849	200	865	389	856	814	380	573
LOC107986856	5	0	2	2	7	6	7	8	5
ZNF282	1699	610	261	586	449	713	692	343	614
ZNF212	163	421	81	219	279	455	599	226	285
ZNF783	74	609	123	758	461	1142	1146	707	801
LOC155060	8	191	37	267	178	414	193	275	235
TRC-GCA1-1	0	0	0	0	2	0	0	0	0
TRC-GCA9-2	0	1	0	0	0	0	1	0	0
TRC-GCA13-1	0	0	0	0	0	0	0	0	0
TRC-GCA18-1	0	0	0	0	0	0	0	0	0
TRC-GCA10-1	0	0	0	0	0	0	0	0	0
LOC105375559	0	1	0	0	0	3	0	0	0
LOC101928733	0	1	0	0	0	1	1	2	0
TRC-GCA11-1	0	0	0	0	0	0	0	0	0
ZNF777	78	419	18	312	275	624	670	254	321
ZNF746	2447	802	1105	853	1207	948	996	357	804
TRC-GCA16-1	0	4	0	11	6	5	4	1	1
ZNF767P	297	371	262	865	491	829	973	446	490
TRC-GCA22-1	0	9	0	11	5	14	4	4	5
TRC-GCA15-1	0	2	0	2	1	2	5	2	3
TRC-GCA3-1	0	0	0	0	0	0	1	0	0
TRC-GCA23-1	0	0	0	1	0	1	0	0	0
TRC-GCA20-1	0	2	0	5	1	1	1	0	1
TRS-AGA5-1	0	4	0	5	7	4	7	1	2
TRC-GCA19-1	0	5	0	1	3	6	5	5	4
TRC-GCA9-3	0	0	0	0	0	0	0	0	0
TRC-GCA12-1	0	0	0	0	0	0	1	0	0
TRC-GCA21-1	0	0	0	0	0	0	0	0	0
TRC-GCA17-1	0	0	0	0	0	0	0	0	0
TRC-GCA9-4	0	0	0	0	0	0	0	0	0
KRBA1	20	200	67	265	192	387	498	199	274
ZNF467	4915	373	2126	1447	1952	719	110	528	1709
SSPOP	51	53	20	102	103	129	19	22	124
ZNF862	338	429	267	933	826	1539	1544	740	1187
ATP6V0E2-AS1	2	6	8	18	17	21	137	77	32
ATP6V0E2	40	298	98	424	302	699	1221	939	530
ACTR3C	33	108	84	174	116	301	300	209	180
LOC100134040	0	0	0	0	0	0	1	0	0
LRRC61	96	89	176	137	99	166	191	109	95
ZBED10P	176	212	502	537	157	426	542	193	284
LOC105375560	2	3	9	9	3	2	6	4	2
RARRES2	0	3	1	4	0	7	6	1	3
LOC107986858	2	3	4	2	13	6	1	12	9
REPIN1-AS1	5	35	15	42	25	72	83	35	63
REPIN1	744	1752	709	2097	1396	2320	2529	1398	1947
ZNF775	47	40	31	78	27	80	185	81	54
ZNF775-AS1	2	4	2	12	13	10	26	4	5
LOC107986859	3	11	3	12	10	39	41	26	17
LOC728743	28	438	78	538	444	1227	1485	1124	685
LINC00996	3	36	8	41	49	65	628	47	61
GIMAP8	741	780	1730	2045	543	2064	2204	858	2318
GIMAP7	288	1312	431	1668	1196	3397	6292	2797	2291
LOC107986860	0	6	7	6	18	79	119	20	25
GIMAP4	1704	3093	5096	4725	2069	6315	6757	4110	7500
GIMAP6	1049	2458	2048	5915	1239	3407	5966	1568	3051
GIMAP2	1681	1216	2299	2683	1410	2588	3453	1069	2509
GIMAP1-GIMAP5	269	1108	871	1782	553	2267	4106	1445	1470
GIMAP1	323	1262	909	2407	762	2277	2536	1834	1994
GIMAP5	212	963	731	1479	409	2031	3874	1283	1212
LOC105375566	42	154	37	169	155	83	134	13	168
TMEM176B	439	2849	219	3185	1990	1116	1703	394	4292
TMEM176A	188	1303	94	1472	1146	645	932	120	1346
LOC105375567	0	0	1	0	1	0	4	0	0
AOC1	96	11	14	7	39	2	50	0	1
KCNH2	0	29	11	30	36	66	26	70	61
NOS3	9	17	12	36	21	127	48	82	69
ATG9B	13	47	9	84	56	221	140	154	94
ABCB8	233	357	128	409	383	813	768	678	530
ASIC3	21	53	21	83	58	182	206	94	67
CDK5	428	115	109	142	208	196	195	205	214
SLC4A2	930	993	845	1706	1557	1480	2195	1154	1763
FASTK	430	820	265	1009	1206	1781	1898	2223	1260
TMUB1	463	583	457	970	834	1142	1358	1452	886
AGAP3	91	874	423	1467	1910	852	1537	710	1194
LOC107986862	2	9	0	14	187	20	13	14	38
GBX1	0	0	0	0	6	0	0	0	1
ASB10	0	0	0	0	0	0	1	0	0
IQCA1L	1	1	1	2	5	2	1	9	2
ABCF2-H2BK1	128	393	237	455	396	491	567	290	495
H2BK1	1	8	8	17	10	32	31	24	24
ABCF2	191	563	323	718	581	807	873	605	740
CHPF2	1647	2083	982	2003	1398	1812	2065	1235	1689
MIR671	64	80	34	84	64	91	129	136	105
SMARCD3	2140	1246	2225	1397	1675	690	432	645	1253
NUB1	1926	2866	5048	3411	3275	3062	7306	1137	3588
WDR86	83	152	230	257	232	372	970	411	444
WDR86-AS1	1	32	0	31	92	79	15	132	101
CRYGN	0	0	0	2	2	0	0	14	4
MIR3907	0	0	0	0	0	0	0	0	0
RHEB	1389	1299	1654	1293	2237	816	1337	371	824
PRKAG2	601	1436	1057	2120	2290	1985	1970	858	2253
PRKAG2-AS2	3	18	14	71	16	11	140	15	37
PRKAG2-AS1	8	71	13	95	158	109	87	69	162
LOC105375570	0	0	0	0	0	0	0	0	0
LOC105375571	0	0	0	0	0	0	0	0	0
GALNTL5	0	0	0	0	0	0	0	0	0
GALNT11	366	1274	718	1320	1162	1291	1205	530	971
LOC731075	13	26	39	42	78	88	75	50	51
KMT2C	3236	7132	4815	8701	8447	5450	4145	2812	4357
FABP5P3	1	4	3	3	19	6	4	2	0
LINC01003	149	193	165	199	271	194	161	107	253
LOC105375574	0	0	0	0	0	0	0	0	0
XRCC2	14	107	52	90	22	43	93	28	29
ACTR3B	51	67	97	106	123	271	198	111	172
LOC102723686	0	2	1	1	1	3	13	5	1
LOC105375577	0	0	1	0	0	0	2	0	0
LINC01287	0	0	0	1	0	2	0	0	0
LOC105375578	0	0	0	0	0	0	0	0	0
