	GSM3001089	GSM3001090	GSM3001091	GSM3001092	GSM3001093	GSM3001094
MAGI2-AS3	2508	1290	1112	2419	1404	1349
LOC105375369	1	0	1	0	2	0
LOC105375370	2	0	0	0	0	0
LOC105375371	0	0	0	0	1	0
LOC105375372	1	0	0	0	0	0
GNAI1	5425	2475	2466	5539	2469	2559
LOC107986743	1	0	4	2	0	0
LOC107986744	1	0	0	1	1	2
LOC105375373	1	1	2	2	0	1
LOC101927269	898	335	212	600	237	292
GNAT3	822	293	189	455	183	208
LOC107986812	5468	3944	3349	3071	2903	2650
CD36	48826	32485	28555	26740	24229	21863
SEMA3C	3478	604	540	1799	557	501
LOC105369146	0	0	0	0	1	0
LOC100128317	2	2	0	1	0	0
HGF	44	36	36	32	40	37
CACNA2D1	2357	2103	2001	2568	2105	2465
CACNA2D1-AS1	51	25	25	67	32	28
LOC107986813	210	91	44	255	76	96
LOC105375376	0	1	1	0	0	1
PCLO	4958	3639	2729	3638	2585	2552
LOC105375377	0	0	0	0	1	0
SEMA3E	104	117	108	42	62	64
LOC105375378	106	13	6	121	14	12
LOC107986745	2	2	2	2	9	6
SEMA3A	24234	20952	18611	30370	26463	26283
LINC03017	1	0	2	3	4	3
SEMA3D	22218	5008	4463	11256	4650	4381
LINC00972	0	0	0	1	0	0
GRM3	127	63	59	119	61	69
LOC105375382	71	27	32	77	18	34
GRM3-AS1	61	30	32	73	21	36
LOC107986814	60	20	23	48	18	20
ELAPOR2	45721	20902	19779	36041	20052	20677
LOC112268008	1662	531	377	1359	433	554
DMTF1-AS1	60	38	39	42	32	50
DMTF1	12557	6582	4983	11094	5845	6384
TMEM243	649	322	290	1064	491	492
LOC105375384	204	99	64	239	72	95
TP53TG1	1073	541	589	784	516	498
CROT	528	324	320	635	379	353
ABCB4	81	47	43	77	47	39
ABCB1	8	8	1	12	7	6
RUNDC3B	52	32	18	58	22	11
SLC25A40	2343	1188	1159	2354	1173	1209
DBF4	1749	504	592	2458	687	744
ADAM22	204	189	123	121	84	86
LOC105375386	3	2	0	1	0	1
SRI	9064	4650	4916	7864	4603	4825
SRI-AS1	365	304	359	314	322	363
STEAP4	9	5	0	9	4	4
LOC107986815	0	0	1	0	1	0
LOC107986816	1	0	0	2	2	1
ZNF804B	0	1	0	0	4	1
TEX47	0	1	0	1	5	1
LOC105375387	0	0	1	1	2	1
LOC107986817	0	0	0	0	0	0
STEAP2-AS1	0	0	0	0	1	1
DPY19L2P4	6	4	1	6	2	2
STEAP1	316	145	173	718	248	329
STEAP2	37	23	25	118	22	44
LOC107986819	1	1	1	3	1	0
CFAP69	131	109	74	113	88	93
FAM237B	0	1	0	4	2	0
LOC107986715	15	19	11	14	22	13
LOC101927446	0	1	0	0	0	1
GTPBP10	1384	1007	877	1596	1109	974
LOC112267985	24	14	15	25	16	14
LOC101409256	6	4	5	6	9	7
CLDN12	1750	1594	1355	1876	1597	1636
PTTG1IP2	2	5	5	6	4	4
CDK14	131	37	44	85	36	41
FZD1	620	272	278	647	316	269
LINC02932	0	0	0	1	2	0
LOC107986716	0	2	0	0	1	1
LOC101927473	1	0	0	0	0	0
MTERF1	1163	606	594	1331	718	697
LOC112267986	3	1	1	2	1	2
AKAP9	25344	12293	11175	26852	14174	13953
CYP51A1	6416	3852	3712	12191	7879	7619
CYP51A1-AS1	41	21	26	27	27	20
LRRD1	10	4	4	5	3	5
KRIT1	3792	2755	2297	3822	2778	2761
MIR1285-1	6	1	1	6	5	4
ANKIB1	9675	5597	5291	17535	8477	8886
TMBIM7P	1	0	0	0	1	0
GATAD1	4067	3284	3041	3777	3148	3195
ERVW-1	39	35	30	33	29	30
PEX1	3548	1756	1618	2993	1457	1415
RBM48	1465	999	912	1406	1045	1031
FAM133B	2175	1041	1011	2099	1028	1136
LOC105375397	6	2	7	2	6	4
CDK6	13197	5742	5620	13507	7334	6979
LOC112268009	465	162	106	451	143	183
CDK6-AS1	38	17	29	45	24	22
SAMD9	5308	3566	3478	89509	48262	48171
SAMD9L	1817	1248	1147	46391	19812	20807
HEPACAM2	2	5	2	5	4	5
VPS50	5225	2898	2549	5141	2818	2897
CALCR	0	3	1	0	1	0
MIR653	0	0	0	0	0	0
MIR489	0	0	0	0	0	0
LOC105375400	0	1	0	0	0	0
MIR4652	0	0	0	0	0	0
TFPI2	2933	1289	1239	5475	2812	2757
TFPI2-DT	1	3	2	6	0	3
GNGT1	0	0	1	3	0	0
LOC105375402	18	6	10	10	4	7
GNG11	113618	64625	66320	94051	61433	61594
BET1	4998	2765	2584	4674	2895	2819
BET1-AS1	20	20	24	16	26	27
LOC107986820	189	103	79	129	96	96
LOC112267858	3	1	2	3	5	1
LOC107986821	4	1	0	0	1	2
COL1A2-AS1	0	0	0	0	0	0
COL1A2	268	143	149	329	109	143
LOC105375404	69	30	31	56	20	38
CASD1	4642	2082	1937	3485	1946	1889
SGCE	7275	4855	4600	6800	5594	5556
PEG10	7162	2945	3011	8127	3179	3521
PPP1R9A	5982	3558	2826	3337	2534	2478
PPP1R9A-AS1	38	22	15	24	19	15
PON1	15	10	9	9	2	10
PON3	8	7	5	26	4	4
LOC107986822	5	1	0	1	0	1
PON2	27434	13593	12933	29880	16935	16488
LOC107986823	8	11	3	16	5	6
ASB4	0	1	1	1	1	3
PDK4	25028	53004	43409	14084	47429	41819
PDK4-AS1	75	62	61	37	70	40
LOC107986746	1	0	0	0	0	0
LOC105375409	2	3	0	1	1	1
DYNC1I1	4068	2165	1861	3285	2047	2087
SLC25A13	4556	2845	2723	4012	2594	2578
MIR591	5	1	3	4	8	4
LOC105375410	0	1	0	0	1	0
LOC105375411	0	0	0	0	0	0
SEM1	8734	4430	5065	7764	4375	4638
LOC105375412	0	0	0	0	1	0
LOC107986825	0	0	0	0	1	1
LOC105375414	0	0	1	0	0	0
DLX6-AS1	0	4	1	0	0	0
DLX6	1	2	1	0	3	1
DLX5	0	2	0	1	0	2
SDHAF3	218	147	146	246	116	120
LOC107984034	7	3	4	2	3	0
LOC105375417	3	2	2	3	0	1
LOC107986826	0	1	0	1	0	0
LOC105375416	0	0	0	0	0	0
TAC1	1	0	0	0	0	1
ASNS	238	114	124	312	167	190
CZ1P-ASNS	287	147	158	362	200	214
MIR5692A1	2	2	2	3	1	3
MIR5692C2	12	4	2	5	5	5
CCZ1P-OR7E38P	291	150	131	407	176	199
OCM2	0	1	1	1	2	0
LMTK2	3502	2419	2291	3566	2036	2265
BHLHA15	20	20	16	24	21	29
TECPR1	8068	5664	5346	7401	5526	6319
BRI3	7464	6922	6720	7350	6663	6874
BAIAP2L1	437	251	246	359	185	235
NPTX2	54	17	13	93	67	60
LOC105375419	1	1	0	0	2	0
LOC105375418	0	0	0	0	0	0
TMEM130	0	7	4	0	5	4
TRRAP	6420	5501	4883	6609	3840	5353
MIR3609	106	598	665	121	550	513
SCARNA28	5577	3911	4205	5033	4279	3823
LOC101927550	436	276	237	540	330	386
SMURF1	3893	2125	2089	6165	3196	3595
KPNA7	6	3	5	31	20	17
MYH16	1	4	4	3	6	2
LOC105375421	10	10	5	16	7	5
ARPC1A	15852	10122	10177	10905	7779	7864
ARPC1B	20508	14032	15008	20897	14696	16085
PDAP1	7182	5037	5320	7986	4915	5398
BUD31	3688	1940	2079	3322	2037	2060
MIR12119	96	50	68	100	54	74
ATP5MF-PTCD1	3076	1594	1741	3334	1799	1968
PTCD1	1469	822	848	1599	960	996
CPSF4	2166	1145	1098	2006	1152	1184
ATP5MF	5857	2663	2941	6231	3013	3336
TRW-CCA5-1	5	2	2	3	2	1
ZNF789	1106	582	492	1094	495	595
ZNF394	2063	1602	1459	2237	1752	1720
ZKSCAN5	2726	1576	1513	3069	1794	1842
FAM200A	518	522	465	486	438	437
LOC105375422	1	3	5	1	6	1
ZNF655	649	758	664	1102	819	932
TMEM225B	335	417	377	557	448	497
ZSCAN25	1992	1227	1171	2016	1364	1474
CYP3A5	430	227	183	319	189	214
CYP3A7-CYP3A51P	10	5	8	4	4	11
CYP3A7	11	5	6	4	4	7
CYP3A4	2	0	2	5	0	1
CYP3A43	1	3	0	1	4	1
OR2AE1	5	1	3	1	5	3
TRIM4	4645	3213	3050	4363	3093	3169
LOC101927610	74	57	53	65	50	46
GJC3	44	43	55	38	32	30
AZGP1	0	1	0	0	1	0
AZGP1P1	0	0	0	0	0	2
LOC105375423	10	7	3	7	1	1
ZKSCAN1	12763	10228	9454	8967	8216	8299
ZSCAN21	996	704	628	839	603	635
ZNF3	4443	2812	2613	4066	2799	2709
COPS6	6753	2629	3144	6865	2518	3180
MCM7	11250	3170	4015	13873	2956	3815
MIR25	67	29	24	57	30	19
MIR93	18	6	4	11	4	4
MIR106B	15	4	4	8	3	5
AP4M1	2335	1437	1369	1668	1147	1263
TAF6	2857	1662	1581	2647	1398	1642
CNPY4	3174	1965	1947	2109	1587	1603
MBLAC1	132	91	121	177	109	104
LAMTOR4	4305	2707	3002	3737	2777	2734
TRAPPC14	1079	522	483	1027	572	664
MIR4658	35	16	15	38	21	27
GAL3ST4	21	10	20	62	15	24
GPC2	118	34	30	87	28	37
STAG3	448	254	205	288	195	233
CASTOR3P	1888	1187	1137	947	826	946
PVRIG	702	376	313	497	314	396
LOC107986828	134	99	103	67	91	84
LOC105375427	14	4	4	7	5	4
LOC105375426	36	27	14	18	8	16
SPDYE3	750	497	446	521	352	398
PMS2P1	1810	1112	1116	1353	980	1030
STAG3L5P-PVRIG2P-PILRB	4741	2161	1820	4370	2487	3223
STAG3L5P	680	286	244	623	323	403
PVRIG2P	945	402	344	867	476	610
MIR6840	51	15	14	40	20	30
PILRB	1364	665	539	1292	760	1044
PILRA	41	20	13	33	22	15
ZCWPW1	763	547	506	682	429	453
MEPCE	7736	4555	4442	6327	3839	4200
PPP1R35	984	514	569	839	476	554
PPP1R35-AS1	503	289	294	360	259	286
SPACDR	55	75	79	42	63	74
TSC22D4	4378	4257	4029	4553	4021	4592
NYAP1	798	846	772	520	638	725
LOC107986829	4	5	8	5	8	0
AGFG2	11663	10068	8914	9321	9161	9442
SAP25	34	43	19	30	34	37
LRCH4	1135	698	664	1330	673	847
ZASP	135	79	84	165	67	96
FBXO24	53	32	24	49	37	32
PCOLCE-AS1	9	8	6	9	7	9
PCOLCE	37	19	27	47	11	28
MOSPD3	761	559	546	538	414	395
TFR2	39	33	26	63	27	37
ACTL6B	2	6	1	0	8	2
LOC105375429	1	1	0	1	1	1
GNB2	10595	8262	8769	10427	7224	8656
GIGYF1	5220	3344	2860	4884	3027	3495
POP7	1368	706	738	1702	713	789
EPO	0	2	0	1	3	2
ZAN	4	18	8	7	17	17
EPHB4	46241	37398	36120	38969	34652	36014
SLC12A9	5280	3660	3654	4948	3576	3932
SLC12A9-AS1	17	22	15	21	7	11
LOC107986830	5	10	5	12	9	5
TRIP6	5711	2780	3020	5956	2940	3240
MIR6875	11	6	6	9	6	8
SRRT	5652	3035	3073	6772	2996	3800
UFSP1	71	60	61	72	65	66
ACHE	148	170	123	156	253	254
LOC105375431	0	4	1	2	6	4
MUC3A	11	63	39	9	68	53
MUC12	5	92	33	9	100	56
MUC12-AS1	0	0	0	1	0	1
MUC17	1	6	2	4	13	7
TRIM56	3487	4248	3894	7028	6755	7788
SERPINE1	76775	23341	28248	214675	91171	101598
AP1S1	5367	2643	2756	5492	2784	2890
MIR4653	20	13	10	19	6	4
VGF	9	9	11	9	8	7
NAT16	0	4	1	0	6	4
MOGAT3	0	2	2	1	0	0
PLOD3	4192	3925	3542	5622	3891	4777
ZNHIT1	5934	3247	3525	5404	3590	3734
CLDN15	516	304	260	432	277	309
FIS1	7869	4497	4886	6746	4384	4799
LNCPRESS1	5	0	0	1	0	1
EMSLR	17	21	20	34	19	28
IFT22	1282	966	906	1061	725	779
COL26A1	3	4	1	0	3	3
LOC105379743	0	1	0	0	0	0
LINC01007	0	5	1	0	3	0
LOC107986832	0	1	0	0	0	0
MYL10	0	2	0	0	1	0
CUX1	6960	6126	5662	5153	5268	5613
SH2B2	31	26	24	32	45	40
MIR4285	1	0	0	0	0	0
LOC107986717	27	17	10	25	9	21
SPDYE6	380	288	218	372	225	344
LOC100630923	873	507	493	1112	696	689
LOC100289561	196	113	135	206	156	141
PRKRIP1	752	437	414	978	612	603
MIR548O	5	1	3	6	1	3
LOC105375433	32	13	12	34	19	23
ORAI2	7531	4649	4370	4897	3702	3956
ALKBH4	748	475	509	657	470	482
LRWD1	1349	768	870	1188	811	837
MIR5090	13	17	12	15	11	8
MIR4467	6	1	2	4	4	1
POLR2J	3059	1537	1694	2653	1626	1706
RASA4B	699	276	313	551	334	408
POLR2J3	2095	1134	1144	1636	1161	1212
UPK3BL2	1029	634	566	820	614	658
SPDYE2	604	469	313	616	401	554
RASA4	763	299	337	578	375	455
POLR2J2	1858	1082	966	1382	966	1067
UPK3BL1	1082	681	589	788	597	651
SPDYE2B	736	528	385	711	440	663
RASA4DP	290	115	118	243	135	163
FAM185A	611	364	362	549	375	341
FBXL13	160	93	96	100	78	88
LRRC17	29	19	16	24	18	16
NFE4	0	1	0	1	0	0
ARMC10	2840	1825	1760	2430	1646	1609
NAPEPLD	971	689	656	932	626	648
RPL19P12	56	11	10	72	12	19
LOC105375434	31	17	13	45	20	13
DPY19L2P2	13	9	3	11	8	8
PMPCB	6713	3476	3910	5960	3163	3250
DNAJC2	2706	1226	1241	3218	1546	1567
PSMC2	10123	4543	4892	13587	6358	6511
SLC26A5	605	431	318	525	396	432
SLC26A5-AS1	229	168	119	124	115	99
RELN	266414	322722	258936	132244	213466	203082
LOC105375435	1396	1354	1220	729	979	952
ORC5	1869	1013	1020	1688	926	994
LHFPL3	3	0	4	2	2	3
LOC105375436	0	1	2	1	3	0
LHFPL3-AS1	0	1	0	0	1	1
LHFPL3-AS2	58	18	21	48	17	12
KMT2E	14458	11494	9877	13156	10929	11118
LINC01004	2664	1817	1224	2157	1477	1760
KMT2E-AS1	1184	955	719	1091	972	986
SRPK2	10009	6909	6451	8885	6605	6607
PUS7	2239	1824	1616	3028	2066	2129
RINT1	1246	1495	1431	1439	1349	1678
EFCAB10	143	193	184	171	152	218
ATXN7L1	1245	736	709	1758	1101	1257
CDHR3	17	14	4	11	9	6
LOC107986833	1	0	0	0	2	0
SYPL1	14307	8984	8355	12672	8367	8675
NAMPT	27854	22293	20327	59154	48513	44660
CTB-30L5.1	168	142	104	101	94	92
LOC105375440	53	60	49	44	51	52
CCDC71L	13783	11657	10828	13553	11418	10850
PIK3CG	589	861	803	1068	1026	1010
PRKAR2B	4498	2871	3036	3557	2314	2448
PRKAR2B-AS1	33	19	25	31	23	27
HBP1	16891	11666	11133	14489	12179	11756
COG5	9687	5758	5688	11025	6619	6775
GPR22	371	89	67	413	101	138
DUS4L	406	192	185	373	164	180
DUS4L-BCAP29	8110	3734	3698	9231	4145	4253
BCAP29	7709	3569	3481	8778	4019	4112
LOC105375443	175	111	76	123	98	97
SLC26A4-AS1	65	15	20	101	24	34
SLC26A4	1553	383	528	1162	326	371
CBLL1-AS1	277	132	146	231	150	136
CBLL1	3572	2029	1857	4031	2436	2340
SLC26A3	7	7	3	5	0	2
LOC105375444	0	0	0	0	0	0
LOC105375445	0	1	0	0	0	0
DLD	9915	5219	5575	10639	5188	5586
LAMB1	106315	63460	57995	95885	54713	58617
LAMB4	32	12	18	40	9	12
LOC107986834	0	1	0	7	0	3
LOC107986835	0	0	0	2	0	0
LOC105375446	8	2	4	24	4	5
NRCAM	2002	340	380	4671	822	958
LOC102724363	5	0	1	13	4	3
PNPLA8	7240	3927	3787	7925	5116	4934
THAP5	2476	1722	1504	2279	1584	1528
DNAJB9	5738	4509	3856	4719	4421	4123
LOC105375448	0	3	0	0	1	0
LOC107986836	0	0	0	0	0	1
LINC02903	0	0	0	0	0	0
LOC112268010	0	1	1	1	0	1
EIF3IP1	1	0	0	0	0	1
LOC105375451	1	0	1	1	1	2
LOC105375450	0	0	0	0	0	0
LOC105375452	0	0	0	0	1	1
IMMP2L	1145	569	410	890	449	546
LRRN3	126	33	31	71	26	36
DOCK4	13935	10171	9063	13942	9925	10471
DOCK4-AS1	347	156	96	377	156	190
ZNF277	4430	3260	3128	3951	3014	2804
LOC105375456	0	1	0	2	0	0
IFRD1	4300	2773	2400	4447	3178	3191
LOC105375457	54	14	23	57	21	26
LSMEM1	331	200	149	207	138	163
LOC100996249	0	1	0	1	0	0
LOC101928012	0	0	0	1	0	1
TMEM168	4381	2161	1897	3348	1869	1937
BMT2	1740	991	980	1582	1047	1004
HRAT17	0	0	0	0	2	1
GPR85	8	10	10	8	15	11
LOC107986837	11	10	3	3	4	4
SMIM30	4516	2606	2434	4026	2550	2491
PPP1R3A	0	3	0	1	3	0
FOXP2	4535	2770	2415	2210	1622	1526
MIR3666	6	1	5	3	2	2
MDFIC	17215	10599	9124	8526	8366	7275
LINC01393	18	6	4	2	5	2
LINC01392	0	0	0	0	0	0
SNORA25B	0	0	1	0	0	0
LOC100506489	0	0	0	0	0	0
LOC105375461	0	0	0	0	1	0
LOC105375462	0	1	0	0	1	0
LOC102724407	0	1	1	0	0	0
TFEC	313	23	31	1665	104	156
TES	9084	5702	5615	8541	5790	5892
LOC102724434	142	36	54	214	42	55
LOC105375463	117	31	20	101	30	40
LOC107986838	313	200	255	329	250	256
LOC107986839	22	5	6	13	8	5
CAV2	26881	13271	13843	27871	15596	15796
CAV1	228196	76673	87153	231482	88153	95118
COMETT	23	9	12	16	8	6
MET	22339	14141	13612	24208	15106	15278
CAPZA2	34155	15322	15280	36225	18318	18345
LOC105375465	0	0	2	2	2	0
ST7-AS1	139	84	82	185	98	123
ST7	1159	870	857	1284	1067	1108
ST7-OT4	96	51	28	111	41	65
MIR6132	5	0	1	3	1	3
ST7-AS2	102	79	63	128	77	99
ST7-OT3	122	89	98	136	131	117
LOC105375466	0	0	0	1	0	1
WNT2	0	2	2	0	2	0
LOC105375467	0	0	0	0	0	0
ASZ1	0	1	0	0	2	2
LOC105375468	0	2	0	0	0	0
CFTR	1	2	0	0	2	0
CFTR-AS1	0	0	0	1	0	0
CTTNBP2	3	2	3	2	9	7
LOC105375469	0	2	1	0	0	0
LOC105375470	2	5	2	0	3	2
LSM8	4302	2535	2519	4589	2508	2664
ANKRD7	12	2	2	8	1	1
LOC102724495	1	0	1	1	0	0
LOC105375471	0	0	0	0	1	0
LOC105375472	3	3	0	1	1	0
LOC107986747	0	0	0	0	1	0
LOC105375473	0	3	0	0	0	0
LINC02476	1	3	1	0	1	1
LOC107986840	0	1	0	1	0	2
LOC105375477	0	1	0	0	0	0
KCND2	122	26	31	76	24	8
TSPAN12	8785	7736	6868	4709	5407	4999
ING3	2970	1736	1671	2692	1673	1594
CPED1	667	444	460	1414	765	795
WNT16	16	15	10	18	12	15
FAM3C	3886	3400	3098	5528	3950	4310
LOC105375478	3	0	0	1	0	0
PTPRZ1	1	5	0	0	2	3
AASS	5728	2918	2604	7021	3463	3852
LOC102724527	5	2	0	0	2	0
FEZF1	2	1	0	0	5	0
FEZF1-AS1	0	1	1	0	3	0
CADPS2	10358	8315	7396	9975	8259	7890
LOC105375481	34	25	8	39	28	31
RNF133	80	36	21	80	29	29
RNF148	104	54	37	110	53	51
LOC105375482	0	0	0	0	1	0
TAS2R16	0	0	0	0	0	1
SLC13A1	0	3	1	1	6	3
IQUB	33	22	11	18	11	18
NDUFA5	5151	2538	2439	4959	2607	2567
ASB15	1	0	0	2	3	0
ASB15-AS1	0	0	0	0	0	0
LMOD2	3	1	2	7	1	2
WASL	4854	4167	3898	4936	4040	4243
HYAL4	99	14	12	178	12	14
HYAL6P	0	0	0	0	0	0
SPAM1	1	1	0	0	3	1
LOC105375483	0	0	0	1	1	1
TMEM229A	0	1	0	1	3	1
LOC105375484	0	2	0	0	0	0
LOC107986841	0	1	0	0	1	0
LOC101928211	0	0	0	0	0	0
LOC102724577	0	0	0	0	0	0
LOC107986842	0	0	1	0	1	1
GPR37	21	18	12	31	23	20
LINC03043	0	0	0	0	0	1
POT1	3218	1650	1576	3449	1738	1693
POT1-AS1	21	6	8	8	7	2
LINC02830	0	0	0	0	1	1
LOC101928283	0	0	0	0	0	1
LOC101928254	0	2	2	1	2	0
LOC100506664	0	0	0	0	1	0
LOC105375487	0	0	0	0	0	0
LOC105375488	0	0	0	1	0	2
GRM8	0	7	4	8	6	7
LOC101928357	0	2	0	0	0	2
LOC107986843	0	0	0	0	0	0
MIR592	0	0	0	0	0	0
GRM8-AS1	0	1	0	0	1	0
ZNF800	8716	4271	3393	8716	4087	4331
LINC03012	1	0	1	0	0	1
LOC105375490	1	2	1	2	1	3
GCC1	3353	2350	2129	3716	2626	2595
ARF5	8032	4887	4826	5677	3979	4019
LOC105375489	1263	636	670	885	539	529
FSCN3	8	6	3	5	4	6
PAX4	0	1	0	0	0	2
SND1	34118	23471	23341	28053	18997	20294
LOC105375492	111	60	42	120	56	67
SND1-IT1	127	67	47	141	52	79
LRRC4	165	155	121	120	107	141
MIR593	8	7	3	8	4	8
LOC105375493	1	1	0	1	1	0
MIR129-1	0	0	0	0	0	0
LOC105375494	0	0	2	0	0	1
LEP	0	6	0	0	1	0
RBM28	4419	2341	2140	4393	2442	2436
PRRT4	0	1	1	0	4	6
LOC107986845	167	68	86	137	72	70
IMPDH1	5371	2842	3126	4674	2663	3018
HILPDA-AS1	138	119	88	89	101	95
HILPDA	508	357	339	426	329	338
METTL2B	2103	1301	1351	1895	1214	1184
LOC101928451	1888	1232	932	2253	1316	1557
LINC01000	2680	1982	1454	3446	1995	2405
GARIN1A	213	126	102	207	144	149
GARIN1B	3	1	4	2	2	1
CALU	63334	33637	32629	41048	30151	29642
OPN1SW	121	47	44	97	38	49
TRP-AGG2-3	1	0	0	3	1	1
CCDC136	273	88	109	211	76	121
LOC107986846	4	2	0	2	0	2
FLNC	19807	19458	19896	13336	10548	14968
FLNC-AS1	290	295	311	210	157	234
ATP6V1F	4854	2786	2679	4343	2729	2824
ATP6V1FNB	53	51	41	49	34	40
KCP	1	9	7	3	21	18
LOC105375497	0	0	0	0	1	0
IRF5	26	16	19	71	28	34
TNPO3	8419	5152	5093	8169	4779	5082
TPI1P2	64	28	38	73	44	33
LOC407835	206	56	79	185	58	70
TSPAN33	6	1	5	9	11	5
SMO	669	269	268	272	161	175
AHCYL2	3969	1904	1655	3048	1676	1652
LOC105375500	16	11	9	14	2	5
LOC107986847	40	34	25	31	26	30
STRIP2	714	418	434	1914	872	992
SMKR1	9	11	3	9	5	3
LOC107986848	0	1	3	0	0	0
NRF1	1415	836	811	1587	864	943
LOC105375501	1	1	1	0	3	1
MIR182	0	0	0	0	0	0
MIR96	0	0	0	0	0	0
MIR183	0	1	0	0	0	0
UBE2H	15194	8488	8284	16498	8629	9595
ZC3HC1	2416	1150	1205	2716	1330	1413
KLHDC10	6993	4105	4112	7182	4650	4824
LINC03008	4	1	1	8	3	3
TMEM209	1614	1182	1094	1655	1127	1101
SSMEM1	1	3	1	1	2	2
CPA2	0	0	0	1	1	3
CPA4	6	8	13	6	10	2
LOC105375503	0	3	1	1	4	3
CPA5	0	2	2	5	3	2
LOC105375504	0	0	1	1	0	0
CPA1	1	1	1	3	2	0
CEP41	1145	687	763	1267	738	769
LOC105375505	0	2	3	1	3	0
MEST	360	220	224	367	264	252
MESTIT1	2	8	7	5	3	8
MIR335	0	1	0	2	2	0
COPG2	3175	1719	1900	2747	1573	1780
COPG2IT1	32	6	6	18	4	7
TSGA13	30	29	31	23	25	20
KLF14	0	0	0	0	3	0
LOC105375508	5	6	3	5	3	5
LOC105375509	0	0	0	0	0	0
MIR29A	18	6	4	10	10	15
MIR29B1	0	1	0	2	0	0
LINC-PINT	2022	1241	966	2172	1393	1529
LINC00513	398	145	145	248	144	173
MKLN1	12365	6622	5844	12383	6942	6981
MKLN1-AS	131	96	83	107	77	80
PODXL	56495	36441	35742	59413	49521	54237
LOC107986849	0	0	1	0	3	0
LOC101928782	0	1	0	0	3	0
PLXNA4	1083	953	905	542	393	404
LOC101928807	0	2	2	1	1	1
LOC105375511	8	10	2	4	2	1
LOC102724906	2	4	1	2	0	4
FLJ40288	0	3	1	0	2	1
LOC100506937	0	0	0	0	0	0
CHCHD3	4659	2359	2488	5271	2636	2819
MIR3654	9173	4099	4191	6166	3290	3354
LOC105375512	0	0	0	0	0	0
EXOC4	12140	8285	7577	9454	7125	6872
MIR6133	6	3	2	1	2	3
LOC101928861	46	27	9	29	16	19
LOC105375513	81	42	27	78	30	44
LOC105375514	41	23	12	41	17	31
LRGUK	55	44	31	55	28	34
SLC35B4	4074	2407	2195	3499	2354	2265
LOC105375518	1	0	0	0	0	1
LOC105375517	2	1	2	5	3	3
LINC03060	155	82	76	127	69	58
AKR1B1	6342	1987	2421	6552	2183	2596
AKR1B10	3	1	0	3	2	1
LOC105375520	0	6	4	3	1	1
AKR1B15	0	2	1	1	3	0
BPGM	2173	908	998	2027	881	1025
LOC107986850	1	0	0	1	0	1
CALD1	50836	18848	18124	47843	23444	23281
AGBL3	472	388	318	383	293	261
CYREN	5162	4394	3885	9338	8429	8351
TMEM140	2637	2775	2397	6559	6355	6182
WDR91	933	823	810	714	570	733
MIR6509	2	0	0	1	1	1
STRA8	0	0	0	0	4	1
LOC107984123	0	2	1	0	4	1
CNOT4	2550	1485	1381	3113	1723	1762
NUP205	14431	5771	5926	21365	7674	8322
STMP1	2977	1199	1138	2442	1035	1153
SLC13A4	128	104	50	74	62	72
LOC105375521	99	65	50	43	60	52
FAM180A	0	2	3	2	1	1
LOC105375522	2	0	0	2	2	0
LUZP6	16339	8296	7901	13704	7467	7629
MTPN	16339	8296	7901	13704	7467	7629
LOC105375523	18	13	12	45	18	23
LOC105375524	0	0	0	0	3	0
CHRM2	0	2	1	0	4	0
LOC349160	0	0	0	0	0	0
MIR490	0	0	0	0	0	0
LOC105375525	0	0	0	0	0	1
PTN	0	2	0	10	4	3
LOC105375527	0	0	1	0	1	0
DGKI	882	760	639	520	447	476
CREB3L2	10457	8080	7594	8052	6040	6825
CREB3L2-AS1	45	30	15	38	14	31
AKR1D1	0	2	0	0	1	0
MIR4468	0	0	0	0	0	0
LOC107986749	0	0	0	0	0	0
TRIM24	7056	3578	2953	4642	2517	2342
SVOPL	27	20	13	11	8	14
ATP6V0A4	20	28	13	19	14	9
TMEM213	1	2	0	1	0	1
KIAA1549	2567	1423	1264	1701	996	1096
ZC3HAV1L	2311	1545	1426	1719	1144	1227
LOC107986852	74	36	49	62	29	49
ZC3HAV1	12754	7666	7447	33626	19351	20872
MIR10399	84	54	55	115	98	105
TTC26	721	447	432	716	354	320
UBN2	4874	2770	2227	4517	2415	2538
LUC7L2	4420	2322	2088	3938	2115	2246
FMC1	879	396	454	778	419	471
TRR-CCT4-1	7	5	4	5	3	3
FMC1-LUC7L2	4333	2279	2156	3893	2147	2284
LOC100129148	460	285	272	406	276	274
KLRG2	9	11	4	12	6	10
CLEC2L	0	1	0	0	1	2
HIPK2	6574	7675	6864	8891	8180	9289
LOC105375530	44	44	16	70	40	50
TBXAS1	40	27	20	111	38	39
LOC107986853	3	0	2	4	1	3
LOC105375532	1	6	1	4	4	3
PARP12	6063	3111	3398	26952	14883	15561
KDM7A	3735	3262	2671	1904	2225	2260
KDM7A-DT	89	82	84	41	56	49
LOC107986854	1	0	0	0	2	0
LOC105375534	4	2	0	3	3	2
SLC37A3	8560	3475	3441	6531	3606	3530
RAB19	20	14	6	11	6	4
MKRN1	8598	4640	4740	9515	5320	5322
DENND2A	7	11	8	6	7	6
LOC105375535	0	2	0	0	5	0
LOC107986718	6	1	0	3	3	0
ADCK2	3901	1973	1932	2319	1485	1453
NDUFB2-AS1	543	461	531	519	490	503
NDUFB2	8686	4016	4412	7871	4186	4297
