title	geo_accession	status	submission_date	last_update_date	type	channel_count	source_name_ch1	organism_ch1	characteristics_ch1	characteristics_ch1.1	characteristics_ch1.2	characteristics_ch1.3	treatment_protocol_ch1	growth_protocol_ch1	molecule_ch1	extract_protocol_ch1	extract_protocol_ch1.1	taxid_ch1	description	data_processing	data_processing.1	data_processing.2	data_processing.3	data_processing.4	platform_id	contact_name	contact_email	contact_laboratory	contact_department	contact_institute	contact_address	contact_city	contact_state	contact_zip/postal_code	contact_country	data_row_count	instrument_model	library_selection	library_source	library_strategy	relation	relation.1	supplementary_file_1	cell type:ch1	donor:ch1	infection status:ch1	treatment:ch1	series_id
18p_ATRA	GSM5573718	Public on Dec 21 2021	Sep 10 2021	Dec 21 2021	SRA	1	Human macrophages (MO-GMCSF)	Homo sapiens	cell type: Macrophages (MO-GMCSF)	infection status: Infected with Mycobacterium tuberculosis	treatment: 10 uM all-trans-retinoic acid	donor: 18p	MO-GMCSF were infected for 12 hours with Mycobacterium tuberculosis at MOI=1 (or left uninfected), then treated with the indicated compounds at 10 μM, 0.2% DMSO or plain media for 11 hours prior to lysis.	Human primary monocytes were positively selected (CD14) from healthy donor peripheral blood mononuclear cells, then matured in 50 ng/mL GM-CSF for 6 days to create MO-GMCSF.	total RNA	RNA was extracted with buffer RLT (Qiagen) and purified on Zymo columns with off-column DNA digestion.	Libraries were constructed using the KAPA mRNA HyperPrep kit.	9606	mRNA	Reads were aligned with STAR aligner (version 2.6.0) in the RSEM program (version 1.2.29).	RNAseq counts were analyzed in R (version 3.6.3) with DESeq2 (version 1.24.0).	During analysis in R, gene names were retrieved with biomaRt (version 2.40.5) and log2 fold-changes were shrunk with apeglm (version 1.6.0).	Genome_build: hg38 (GRCh38)	Supplementary_files_format_and_content: SuppTable1-ext_RNAseq-Data-ext.xlsx: Raw counts are included in two sheets of the Excel document (one with and one without donor 18p counts); donors 18k, 18o, and 19a were used to calculate the log2 fold-changes and significance values in the other sheet.	GPL21697	Gregory,Hunter,Babunovic	ghbabunovic@gmail.com	Sarah Fortune Lab	Immunology and Infectious Diseases	Harvard T.H. Chan School of Public Health	665 Huntington Ave., SPH 1, Room 802	Boston	MA	02115	USA	0	NextSeq 550	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN21386048	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX12132540	NONE	Macrophages (MO-GMCSF)	18p	Infected with Mycobacterium tuberculosis	10 uM all-trans-retinoic acid	GSE183912
18p_DMSO	GSM5573719	Public on Dec 21 2021	Sep 10 2021	Dec 21 2021	SRA	1	Human macrophages (MO-GMCSF)	Homo sapiens	cell type: Macrophages (MO-GMCSF)	infection status: Infected with Mycobacterium tuberculosis	treatment: 0.2% DMSO	donor: 18p	MO-GMCSF were infected for 12 hours with Mycobacterium tuberculosis at MOI=1 (or left uninfected), then treated with the indicated compounds at 10 μM, 0.2% DMSO or plain media for 11 hours prior to lysis.	Human primary monocytes were positively selected (CD14) from healthy donor peripheral blood mononuclear cells, then matured in 50 ng/mL GM-CSF for 6 days to create MO-GMCSF.	total RNA	RNA was extracted with buffer RLT (Qiagen) and purified on Zymo columns with off-column DNA digestion.	Libraries were constructed using the KAPA mRNA HyperPrep kit.	9606	mRNA	Reads were aligned with STAR aligner (version 2.6.0) in the RSEM program (version 1.2.29).	RNAseq counts were analyzed in R (version 3.6.3) with DESeq2 (version 1.24.0).	During analysis in R, gene names were retrieved with biomaRt (version 2.40.5) and log2 fold-changes were shrunk with apeglm (version 1.6.0).	Genome_build: hg38 (GRCh38)	Supplementary_files_format_and_content: SuppTable1-ext_RNAseq-Data-ext.xlsx: Raw counts are included in two sheets of the Excel document (one with and one without donor 18p counts); donors 18k, 18o, and 19a were used to calculate the log2 fold-changes and significance values in the other sheet.	GPL21697	Gregory,Hunter,Babunovic	ghbabunovic@gmail.com	Sarah Fortune Lab	Immunology and Infectious Diseases	Harvard T.H. Chan School of Public Health	665 Huntington Ave., SPH 1, Room 802	Boston	MA	02115	USA	0	NextSeq 550	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN21386049	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX12132541	NONE	Macrophages (MO-GMCSF)	18p	Infected with Mycobacterium tuberculosis	0.2% DMSO	GSE183912
18p_EC23	GSM5573720	Public on Dec 21 2021	Sep 10 2021	Dec 21 2021	SRA	1	Human macrophages (MO-GMCSF)	Homo sapiens	cell type: Macrophages (MO-GMCSF)	infection status: Infected with Mycobacterium tuberculosis	treatment: 10 uM EC 23	donor: 18p	MO-GMCSF were infected for 12 hours with Mycobacterium tuberculosis at MOI=1 (or left uninfected), then treated with the indicated compounds at 10 μM, 0.2% DMSO or plain media for 11 hours prior to lysis.	Human primary monocytes were positively selected (CD14) from healthy donor peripheral blood mononuclear cells, then matured in 50 ng/mL GM-CSF for 6 days to create MO-GMCSF.	total RNA	RNA was extracted with buffer RLT (Qiagen) and purified on Zymo columns with off-column DNA digestion.	Libraries were constructed using the KAPA mRNA HyperPrep kit.	9606	mRNA	Reads were aligned with STAR aligner (version 2.6.0) in the RSEM program (version 1.2.29).	RNAseq counts were analyzed in R (version 3.6.3) with DESeq2 (version 1.24.0).	During analysis in R, gene names were retrieved with biomaRt (version 2.40.5) and log2 fold-changes were shrunk with apeglm (version 1.6.0).	Genome_build: hg38 (GRCh38)	Supplementary_files_format_and_content: SuppTable1-ext_RNAseq-Data-ext.xlsx: Raw counts are included in two sheets of the Excel document (one with and one without donor 18p counts); donors 18k, 18o, and 19a were used to calculate the log2 fold-changes and significance values in the other sheet.	GPL21697	Gregory,Hunter,Babunovic	ghbabunovic@gmail.com	Sarah Fortune Lab	Immunology and Infectious Diseases	Harvard T.H. Chan School of Public Health	665 Huntington Ave., SPH 1, Room 802	Boston	MA	02115	USA	0	NextSeq 550	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN21386050	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX12132543	NONE	Macrophages (MO-GMCSF)	18p	Infected with Mycobacterium tuberculosis	10 uM EC 23	GSE183912
18p_TTNPB	GSM5573721	Public on Dec 21 2021	Sep 10 2021	Dec 21 2021	SRA	1	Human macrophages (MO-GMCSF)	Homo sapiens	cell type: Macrophages (MO-GMCSF)	infection status: Infected with Mycobacterium tuberculosis	treatment: 10 uM TTNPB	donor: 18p	MO-GMCSF were infected for 12 hours with Mycobacterium tuberculosis at MOI=1 (or left uninfected), then treated with the indicated compounds at 10 μM, 0.2% DMSO or plain media for 11 hours prior to lysis.	Human primary monocytes were positively selected (CD14) from healthy donor peripheral blood mononuclear cells, then matured in 50 ng/mL GM-CSF for 6 days to create MO-GMCSF.	total RNA	RNA was extracted with buffer RLT (Qiagen) and purified on Zymo columns with off-column DNA digestion.	Libraries were constructed using the KAPA mRNA HyperPrep kit.	9606	mRNA	Reads were aligned with STAR aligner (version 2.6.0) in the RSEM program (version 1.2.29).	RNAseq counts were analyzed in R (version 3.6.3) with DESeq2 (version 1.24.0).	During analysis in R, gene names were retrieved with biomaRt (version 2.40.5) and log2 fold-changes were shrunk with apeglm (version 1.6.0).	Genome_build: hg38 (GRCh38)	Supplementary_files_format_and_content: SuppTable1-ext_RNAseq-Data-ext.xlsx: Raw counts are included in two sheets of the Excel document (one with and one without donor 18p counts); donors 18k, 18o, and 19a were used to calculate the log2 fold-changes and significance values in the other sheet.	GPL21697	Gregory,Hunter,Babunovic	ghbabunovic@gmail.com	Sarah Fortune Lab	Immunology and Infectious Diseases	Harvard T.H. Chan School of Public Health	665 Huntington Ave., SPH 1, Room 802	Boston	MA	02115	USA	0	NextSeq 550	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN21386051	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX12132544	NONE	Macrophages (MO-GMCSF)	18p	Infected with Mycobacterium tuberculosis	10 uM TTNPB	GSE183912
18p_Uninfected	GSM5573722	Public on Dec 21 2021	Sep 10 2021	Dec 21 2021	SRA	1	Human macrophages (MO-GMCSF)	Homo sapiens	cell type: Macrophages (MO-GMCSF)	infection status: Uninfected	treatment: media	donor: 18p	MO-GMCSF were infected for 12 hours with Mycobacterium tuberculosis at MOI=1 (or left uninfected), then treated with the indicated compounds at 10 μM, 0.2% DMSO or plain media for 11 hours prior to lysis.	Human primary monocytes were positively selected (CD14) from healthy donor peripheral blood mononuclear cells, then matured in 50 ng/mL GM-CSF for 6 days to create MO-GMCSF.	total RNA	RNA was extracted with buffer RLT (Qiagen) and purified on Zymo columns with off-column DNA digestion.	Libraries were constructed using the KAPA mRNA HyperPrep kit.	9606	mRNA	Reads were aligned with STAR aligner (version 2.6.0) in the RSEM program (version 1.2.29).	RNAseq counts were analyzed in R (version 3.6.3) with DESeq2 (version 1.24.0).	During analysis in R, gene names were retrieved with biomaRt (version 2.40.5) and log2 fold-changes were shrunk with apeglm (version 1.6.0).	Genome_build: hg38 (GRCh38)	Supplementary_files_format_and_content: SuppTable1-ext_RNAseq-Data-ext.xlsx: Raw counts are included in two sheets of the Excel document (one with and one without donor 18p counts); donors 18k, 18o, and 19a were used to calculate the log2 fold-changes and significance values in the other sheet.	GPL21697	Gregory,Hunter,Babunovic	ghbabunovic@gmail.com	Sarah Fortune Lab	Immunology and Infectious Diseases	Harvard T.H. Chan School of Public Health	665 Huntington Ave., SPH 1, Room 802	Boston	MA	02115	USA	0	NextSeq 550	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN21386052	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX12132546	NONE	Macrophages (MO-GMCSF)	18p	Uninfected	media	GSE183912
19a_ATRA	GSM5573723	Public on Dec 21 2021	Sep 10 2021	Dec 21 2021	SRA	1	Human macrophages (MO-GMCSF)	Homo sapiens	cell type: Macrophages (MO-GMCSF)	infection status: Infected with Mycobacterium tuberculosis	treatment: 10 uM all-trans-retinoic acid	donor: 19a	MO-GMCSF were infected for 12 hours with Mycobacterium tuberculosis at MOI=1 (or left uninfected), then treated with the indicated compounds at 10 μM, 0.2% DMSO or plain media for 11 hours prior to lysis.	Human primary monocytes were positively selected (CD14) from healthy donor peripheral blood mononuclear cells, then matured in 50 ng/mL GM-CSF for 6 days to create MO-GMCSF.	total RNA	RNA was extracted with buffer RLT (Qiagen) and purified on Zymo columns with off-column DNA digestion.	Libraries were constructed using the KAPA mRNA HyperPrep kit.	9606	mRNA	Reads were aligned with STAR aligner (version 2.6.0) in the RSEM program (version 1.2.29).	RNAseq counts were analyzed in R (version 3.6.3) with DESeq2 (version 1.24.0).	During analysis in R, gene names were retrieved with biomaRt (version 2.40.5) and log2 fold-changes were shrunk with apeglm (version 1.6.0).	Genome_build: hg38 (GRCh38)	Supplementary_files_format_and_content: SuppTable1-ext_RNAseq-Data-ext.xlsx: Raw counts are included in two sheets of the Excel document (one with and one without donor 18p counts); donors 18k, 18o, and 19a were used to calculate the log2 fold-changes and significance values in the other sheet.	GPL21697	Gregory,Hunter,Babunovic	ghbabunovic@gmail.com	Sarah Fortune Lab	Immunology and Infectious Diseases	Harvard T.H. Chan School of Public Health	665 Huntington Ave., SPH 1, Room 802	Boston	MA	02115	USA	0	NextSeq 550	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN21386055	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX12132547	NONE	Macrophages (MO-GMCSF)	19a	Infected with Mycobacterium tuberculosis	10 uM all-trans-retinoic acid	GSE183912
19a_DMSO	GSM5573724	Public on Dec 21 2021	Sep 10 2021	Dec 21 2021	SRA	1	Human macrophages (MO-GMCSF)	Homo sapiens	cell type: Macrophages (MO-GMCSF)	infection status: Infected with Mycobacterium tuberculosis	treatment: 0.2% DMSO	donor: 19a	MO-GMCSF were infected for 12 hours with Mycobacterium tuberculosis at MOI=1 (or left uninfected), then treated with the indicated compounds at 10 μM, 0.2% DMSO or plain media for 11 hours prior to lysis.	Human primary monocytes were positively selected (CD14) from healthy donor peripheral blood mononuclear cells, then matured in 50 ng/mL GM-CSF for 6 days to create MO-GMCSF.	total RNA	RNA was extracted with buffer RLT (Qiagen) and purified on Zymo columns with off-column DNA digestion.	Libraries were constructed using the KAPA mRNA HyperPrep kit.	9606	mRNA	Reads were aligned with STAR aligner (version 2.6.0) in the RSEM program (version 1.2.29).	RNAseq counts were analyzed in R (version 3.6.3) with DESeq2 (version 1.24.0).	During analysis in R, gene names were retrieved with biomaRt (version 2.40.5) and log2 fold-changes were shrunk with apeglm (version 1.6.0).	Genome_build: hg38 (GRCh38)	Supplementary_files_format_and_content: SuppTable1-ext_RNAseq-Data-ext.xlsx: Raw counts are included in two sheets of the Excel document (one with and one without donor 18p counts); donors 18k, 18o, and 19a were used to calculate the log2 fold-changes and significance values in the other sheet.	GPL21697	Gregory,Hunter,Babunovic	ghbabunovic@gmail.com	Sarah Fortune Lab	Immunology and Infectious Diseases	Harvard T.H. Chan School of Public Health	665 Huntington Ave., SPH 1, Room 802	Boston	MA	02115	USA	0	NextSeq 550	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN21386056	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX12132549	NONE	Macrophages (MO-GMCSF)	19a	Infected with Mycobacterium tuberculosis	0.2% DMSO	GSE183912
19a_EC23	GSM5573725	Public on Dec 21 2021	Sep 10 2021	Dec 21 2021	SRA	1	Human macrophages (MO-GMCSF)	Homo sapiens	cell type: Macrophages (MO-GMCSF)	infection status: Infected with Mycobacterium tuberculosis	treatment: 10 uM EC 23	donor: 19a	MO-GMCSF were infected for 12 hours with Mycobacterium tuberculosis at MOI=1 (or left uninfected), then treated with the indicated compounds at 10 μM, 0.2% DMSO or plain media for 11 hours prior to lysis.	Human primary monocytes were positively selected (CD14) from healthy donor peripheral blood mononuclear cells, then matured in 50 ng/mL GM-CSF for 6 days to create MO-GMCSF.	total RNA	RNA was extracted with buffer RLT (Qiagen) and purified on Zymo columns with off-column DNA digestion.	Libraries were constructed using the KAPA mRNA HyperPrep kit.	9606	mRNA	Reads were aligned with STAR aligner (version 2.6.0) in the RSEM program (version 1.2.29).	RNAseq counts were analyzed in R (version 3.6.3) with DESeq2 (version 1.24.0).	During analysis in R, gene names were retrieved with biomaRt (version 2.40.5) and log2 fold-changes were shrunk with apeglm (version 1.6.0).	Genome_build: hg38 (GRCh38)	Supplementary_files_format_and_content: SuppTable1-ext_RNAseq-Data-ext.xlsx: Raw counts are included in two sheets of the Excel document (one with and one without donor 18p counts); donors 18k, 18o, and 19a were used to calculate the log2 fold-changes and significance values in the other sheet.	GPL21697	Gregory,Hunter,Babunovic	ghbabunovic@gmail.com	Sarah Fortune Lab	Immunology and Infectious Diseases	Harvard T.H. Chan School of Public Health	665 Huntington Ave., SPH 1, Room 802	Boston	MA	02115	USA	0	NextSeq 550	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN21386057	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX12132550	NONE	Macrophages (MO-GMCSF)	19a	Infected with Mycobacterium tuberculosis	10 uM EC 23	GSE183912
19a_TTNPB	GSM5573726	Public on Dec 21 2021	Sep 10 2021	Dec 21 2021	SRA	1	Human macrophages (MO-GMCSF)	Homo sapiens	cell type: Macrophages (MO-GMCSF)	infection status: Infected with Mycobacterium tuberculosis	treatment: 10 uM TTNPB	donor: 19a	MO-GMCSF were infected for 12 hours with Mycobacterium tuberculosis at MOI=1 (or left uninfected), then treated with the indicated compounds at 10 μM, 0.2% DMSO or plain media for 11 hours prior to lysis.	Human primary monocytes were positively selected (CD14) from healthy donor peripheral blood mononuclear cells, then matured in 50 ng/mL GM-CSF for 6 days to create MO-GMCSF.	total RNA	RNA was extracted with buffer RLT (Qiagen) and purified on Zymo columns with off-column DNA digestion.	Libraries were constructed using the KAPA mRNA HyperPrep kit.	9606	mRNA	Reads were aligned with STAR aligner (version 2.6.0) in the RSEM program (version 1.2.29).	RNAseq counts were analyzed in R (version 3.6.3) with DESeq2 (version 1.24.0).	During analysis in R, gene names were retrieved with biomaRt (version 2.40.5) and log2 fold-changes were shrunk with apeglm (version 1.6.0).	Genome_build: hg38 (GRCh38)	Supplementary_files_format_and_content: SuppTable1-ext_RNAseq-Data-ext.xlsx: Raw counts are included in two sheets of the Excel document (one with and one without donor 18p counts); donors 18k, 18o, and 19a were used to calculate the log2 fold-changes and significance values in the other sheet.	GPL21697	Gregory,Hunter,Babunovic	ghbabunovic@gmail.com	Sarah Fortune Lab	Immunology and Infectious Diseases	Harvard T.H. Chan School of Public Health	665 Huntington Ave., SPH 1, Room 802	Boston	MA	02115	USA	0	NextSeq 550	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN21386053	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX12132551	NONE	Macrophages (MO-GMCSF)	19a	Infected with Mycobacterium tuberculosis	10 uM TTNPB	GSE183912
19a_Uninfected	GSM5573727	Public on Dec 21 2021	Sep 10 2021	Dec 21 2021	SRA	1	Human macrophages (MO-GMCSF)	Homo sapiens	cell type: Macrophages (MO-GMCSF)	infection status: Uninfected	treatment: media	donor: 19a	MO-GMCSF were infected for 12 hours with Mycobacterium tuberculosis at MOI=1 (or left uninfected), then treated with the indicated compounds at 10 μM, 0.2% DMSO or plain media for 11 hours prior to lysis.	Human primary monocytes were positively selected (CD14) from healthy donor peripheral blood mononuclear cells, then matured in 50 ng/mL GM-CSF for 6 days to create MO-GMCSF.	total RNA	RNA was extracted with buffer RLT (Qiagen) and purified on Zymo columns with off-column DNA digestion.	Libraries were constructed using the KAPA mRNA HyperPrep kit.	9606	mRNA	Reads were aligned with STAR aligner (version 2.6.0) in the RSEM program (version 1.2.29).	RNAseq counts were analyzed in R (version 3.6.3) with DESeq2 (version 1.24.0).	During analysis in R, gene names were retrieved with biomaRt (version 2.40.5) and log2 fold-changes were shrunk with apeglm (version 1.6.0).	Genome_build: hg38 (GRCh38)	Supplementary_files_format_and_content: SuppTable1-ext_RNAseq-Data-ext.xlsx: Raw counts are included in two sheets of the Excel document (one with and one without donor 18p counts); donors 18k, 18o, and 19a were used to calculate the log2 fold-changes and significance values in the other sheet.	GPL21697	Gregory,Hunter,Babunovic	ghbabunovic@gmail.com	Sarah Fortune Lab	Immunology and Infectious Diseases	Harvard T.H. Chan School of Public Health	665 Huntington Ave., SPH 1, Room 802	Boston	MA	02115	USA	0	NextSeq 550	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN21386054	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX12132552	NONE	Macrophages (MO-GMCSF)	19a	Uninfected	media	GSE183912
