title	geo_accession	status	submission_date	last_update_date	type	channel_count	source_name_ch1	organism_ch1	characteristics_ch1	characteristics_ch1.1	characteristics_ch1.2	growth_protocol_ch1	molecule_ch1	extract_protocol_ch1	label_ch1	label_protocol_ch1	taxid_ch1	hyb_protocol	scan_protocol	description	data_processing	platform_id	contact_name	contact_email	contact_department	contact_institute	contact_address	contact_city	contact_zip/postal_code	contact_country	supplementary_file	data_row_count	cell line:ch1	infection time:ch1	m. tuberculosis strain:ch1	series_id
THP1-cells infected by ZA9.4 strains at 4h	GSM734310	Public on Dec 01 2011	May 31 2011	Dec 01 2011	RNA	1	THP1-cells infected by ZA9.4 strains at 4h	Homo sapiens	cell line: THP-1 cells	m. tuberculosis strain: ZA9.4	infection time: 4h	M. tuberculosis strains were grown in Middlebrook 7H9 broth (BD Difco) supplemented with 10 % of albumin-dextrose-catalase (OADC) enrichment and 0.05 % tween 80 at 37°C with shaking at 100 rpm. Bacteria were cultured until exponential phase, then aliquoted and frozen at -80℃. THP-1 cells was maintained at 37°C in 5% CO2 in RPMI 1640 media (Life Technologies) supplemented with 10% of FBS. Prior to infection, THP-1 cells were differentiated into macrophage-like cells in T-75 flasks (1×107 cells/flask) with 200nM phorbol myristate acetate (PMA, Sigma-Aldrich) for 24h followed by incubation with fresh media without PMA for 24h. At time points of 4h, 18h and 48h, cell were lysed with 2 ml of Trizol (Life Technologies) for RNA extraction.	total RNA	Trizol extraction of total RNA was performed according to the manufacturer's instructions.	biotin	Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 5 micrograms total RNA (Expression Analysis Technical Manual, 2001, Affymetrix).	9606	The biotinylated cRNA was then fragmented and subjected to hybridization on Human Genome U133 Plus 2.0 Array (Affymetrix, USA).	An affymetrix Gene Chip Scanner 3000 was used to scan the probe arrays	THP1-cells infected by ZA9.4 strains at 4h	These CEL raw expression data were normalized using Robust Multi-array Averaging (RMA) with quantile normalization in R (Bioconductor)	GPL570	Hai,,Fang	hfang@cs.bris.ac.uk	Department of Computer Science	University of Bristol	Woodland Road	Bristol	BS8 1UB	United Kingdom	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM734nnn/GSM734310/suppl/GSM734310.CEL.gz	54675	THP-1 cells	4h	ZA9.4	GSE29628
THP1-cells infected by ZA9.4 strains at 18h	GSM734311	Public on Dec 01 2011	May 31 2011	Dec 01 2011	RNA	1	THP1-cells infected by ZA9.4 strains at 18h	Homo sapiens	cell line: THP-1 cells	m. tuberculosis strain: ZA9.4	infection time: 18h	M. tuberculosis strains were grown in Middlebrook 7H9 broth (BD Difco) supplemented with 10 % of albumin-dextrose-catalase (OADC) enrichment and 0.05 % tween 80 at 37°C with shaking at 100 rpm. Bacteria were cultured until exponential phase, then aliquoted and frozen at -80℃. THP-1 cells was maintained at 37°C in 5% CO2 in RPMI 1640 media (Life Technologies) supplemented with 10% of FBS. Prior to infection, THP-1 cells were differentiated into macrophage-like cells in T-75 flasks (1×107 cells/flask) with 200nM phorbol myristate acetate (PMA, Sigma-Aldrich) for 24h followed by incubation with fresh media without PMA for 24h. At time points of 4h, 18h and 48h, cell were lysed with 2 ml of Trizol (Life Technologies) for RNA extraction.	total RNA	Trizol extraction of total RNA was performed according to the manufacturer's instructions.	biotin	Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 5 micrograms total RNA (Expression Analysis Technical Manual, 2001, Affymetrix).	9606	The biotinylated cRNA was then fragmented and subjected to hybridization on Human Genome U133 Plus 2.0 Array (Affymetrix, USA).	An affymetrix Gene Chip Scanner 3000 was used to scan the probe arrays	THP1-cells infected by ZA9.4 strains at 18h	These CEL raw expression data were normalized using Robust Multi-array Averaging (RMA) with quantile normalization in R (Bioconductor)	GPL570	Hai,,Fang	hfang@cs.bris.ac.uk	Department of Computer Science	University of Bristol	Woodland Road	Bristol	BS8 1UB	United Kingdom	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM734nnn/GSM734311/suppl/GSM734311.CEL.gz	54675	THP-1 cells	18h	ZA9.4	GSE29628
THP1-cells infected by ZA9.4 strains at 48h	GSM734312	Public on Dec 01 2011	May 31 2011	Dec 01 2011	RNA	1	THP1-cells infected by ZA9.4 strains at 48h	Homo sapiens	cell line: THP-1 cells	m. tuberculosis strain: ZA9.4	infection time: 48h	M. tuberculosis strains were grown in Middlebrook 7H9 broth (BD Difco) supplemented with 10 % of albumin-dextrose-catalase (OADC) enrichment and 0.05 % tween 80 at 37°C with shaking at 100 rpm. Bacteria were cultured until exponential phase, then aliquoted and frozen at -80℃. THP-1 cells was maintained at 37°C in 5% CO2 in RPMI 1640 media (Life Technologies) supplemented with 10% of FBS. Prior to infection, THP-1 cells were differentiated into macrophage-like cells in T-75 flasks (1×107 cells/flask) with 200nM phorbol myristate acetate (PMA, Sigma-Aldrich) for 24h followed by incubation with fresh media without PMA for 24h. At time points of 4h, 18h and 48h, cell were lysed with 2 ml of Trizol (Life Technologies) for RNA extraction.	total RNA	Trizol extraction of total RNA was performed according to the manufacturer's instructions.	biotin	Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 5 micrograms total RNA (Expression Analysis Technical Manual, 2001, Affymetrix).	9606	The biotinylated cRNA was then fragmented and subjected to hybridization on Human Genome U133 Plus 2.0 Array (Affymetrix, USA).	An affymetrix Gene Chip Scanner 3000 was used to scan the probe arrays	THP1-cells infected by ZA9.4 strains at 48h	These CEL raw expression data were normalized using Robust Multi-array Averaging (RMA) with quantile normalization in R (Bioconductor)	GPL570	Hai,,Fang	hfang@cs.bris.ac.uk	Department of Computer Science	University of Bristol	Woodland Road	Bristol	BS8 1UB	United Kingdom	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM734nnn/GSM734312/suppl/GSM734312.CEL.gz	54675	THP-1 cells	48h	ZA9.4	GSE29628
THP1-cells infected by R19.4 strains at 4h	GSM734313	Public on Dec 01 2011	May 31 2011	Dec 01 2011	RNA	1	THP1-cells infected by R19.4 strains at 4h	Homo sapiens	cell line: THP-1 cells	m. tuberculosis strain: R19.4	infection time: 4h	M. tuberculosis strains were grown in Middlebrook 7H9 broth (BD Difco) supplemented with 10 % of albumin-dextrose-catalase (OADC) enrichment and 0.05 % tween 80 at 37°C with shaking at 100 rpm. Bacteria were cultured until exponential phase, then aliquoted and frozen at -80℃. THP-1 cells was maintained at 37°C in 5% CO2 in RPMI 1640 media (Life Technologies) supplemented with 10% of FBS. Prior to infection, THP-1 cells were differentiated into macrophage-like cells in T-75 flasks (1×107 cells/flask) with 200nM phorbol myristate acetate (PMA, Sigma-Aldrich) for 24h followed by incubation with fresh media without PMA for 24h. At time points of 4h, 18h and 48h, cell were lysed with 2 ml of Trizol (Life Technologies) for RNA extraction.	total RNA	Trizol extraction of total RNA was performed according to the manufacturer's instructions.	biotin	Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 5 micrograms total RNA (Expression Analysis Technical Manual, 2001, Affymetrix).	9606	The biotinylated cRNA was then fragmented and subjected to hybridization on Human Genome U133 Plus 2.0 Array (Affymetrix, USA).	An affymetrix Gene Chip Scanner 3000 was used to scan the probe arrays	THP1-cells infected by R19.4 strains at 4h	These CEL raw expression data were normalized using Robust Multi-array Averaging (RMA) with quantile normalization in R (Bioconductor)	GPL570	Hai,,Fang	hfang@cs.bris.ac.uk	Department of Computer Science	University of Bristol	Woodland Road	Bristol	BS8 1UB	United Kingdom	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM734nnn/GSM734313/suppl/GSM734313.CEL.gz	54675	THP-1 cells	4h	R19.4	GSE29628
THP1-cells infected by R19.4 strains at 18h	GSM734314	Public on Dec 01 2011	May 31 2011	Dec 01 2011	RNA	1	THP1-cells infected by R19.4 strains at 18h	Homo sapiens	cell line: THP-1 cells	m. tuberculosis strain: R19.4	infection time: 18h	M. tuberculosis strains were grown in Middlebrook 7H9 broth (BD Difco) supplemented with 10 % of albumin-dextrose-catalase (OADC) enrichment and 0.05 % tween 80 at 37°C with shaking at 100 rpm. Bacteria were cultured until exponential phase, then aliquoted and frozen at -80℃. THP-1 cells was maintained at 37°C in 5% CO2 in RPMI 1640 media (Life Technologies) supplemented with 10% of FBS. Prior to infection, THP-1 cells were differentiated into macrophage-like cells in T-75 flasks (1×107 cells/flask) with 200nM phorbol myristate acetate (PMA, Sigma-Aldrich) for 24h followed by incubation with fresh media without PMA for 24h. At time points of 4h, 18h and 48h, cell were lysed with 2 ml of Trizol (Life Technologies) for RNA extraction.	total RNA	Trizol extraction of total RNA was performed according to the manufacturer's instructions.	biotin	Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 5 micrograms total RNA (Expression Analysis Technical Manual, 2001, Affymetrix).	9606	The biotinylated cRNA was then fragmented and subjected to hybridization on Human Genome U133 Plus 2.0 Array (Affymetrix, USA).	An affymetrix Gene Chip Scanner 3000 was used to scan the probe arrays	THP1-cells infected by R19.4 strains at 18h	These CEL raw expression data were normalized using Robust Multi-array Averaging (RMA) with quantile normalization in R (Bioconductor)	GPL570	Hai,,Fang	hfang@cs.bris.ac.uk	Department of Computer Science	University of Bristol	Woodland Road	Bristol	BS8 1UB	United Kingdom	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM734nnn/GSM734314/suppl/GSM734314.CEL.gz	54675	THP-1 cells	18h	R19.4	GSE29628
THP1-cells infected by R19.4 strains at 48h	GSM734315	Public on Dec 01 2011	May 31 2011	Dec 01 2011	RNA	1	THP1-cells infected by R19.4 strains at 48h	Homo sapiens	cell line: THP-1 cells	m. tuberculosis strain: R19.4	infection time: 48h	M. tuberculosis strains were grown in Middlebrook 7H9 broth (BD Difco) supplemented with 10 % of albumin-dextrose-catalase (OADC) enrichment and 0.05 % tween 80 at 37°C with shaking at 100 rpm. Bacteria were cultured until exponential phase, then aliquoted and frozen at -80℃. THP-1 cells was maintained at 37°C in 5% CO2 in RPMI 1640 media (Life Technologies) supplemented with 10% of FBS. Prior to infection, THP-1 cells were differentiated into macrophage-like cells in T-75 flasks (1×107 cells/flask) with 200nM phorbol myristate acetate (PMA, Sigma-Aldrich) for 24h followed by incubation with fresh media without PMA for 24h. At time points of 4h, 18h and 48h, cell were lysed with 2 ml of Trizol (Life Technologies) for RNA extraction.	total RNA	Trizol extraction of total RNA was performed according to the manufacturer's instructions.	biotin	Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 5 micrograms total RNA (Expression Analysis Technical Manual, 2001, Affymetrix).	9606	The biotinylated cRNA was then fragmented and subjected to hybridization on Human Genome U133 Plus 2.0 Array (Affymetrix, USA).	An affymetrix Gene Chip Scanner 3000 was used to scan the probe arrays	THP1-cells infected by R19.4 strains at 48h	These CEL raw expression data were normalized using Robust Multi-array Averaging (RMA) with quantile normalization in R (Bioconductor)	GPL570	Hai,,Fang	hfang@cs.bris.ac.uk	Department of Computer Science	University of Bristol	Woodland Road	Bristol	BS8 1UB	United Kingdom	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM734nnn/GSM734315/suppl/GSM734315.CEL.gz	54675	THP-1 cells	48h	R19.4	GSE29628
THP1-cells infected by CHN50.1 strains at 4h	GSM734316	Public on Dec 01 2011	May 31 2011	Dec 01 2011	RNA	1	THP1-cells infected by CHN50.1 strains at 4h	Homo sapiens	cell line: THP-1 cells	m. tuberculosis strain: CHN50.1	infection time: 4h	M. tuberculosis strains were grown in Middlebrook 7H9 broth (BD Difco) supplemented with 10 % of albumin-dextrose-catalase (OADC) enrichment and 0.05 % tween 80 at 37°C with shaking at 100 rpm. Bacteria were cultured until exponential phase, then aliquoted and frozen at -80℃. THP-1 cells was maintained at 37°C in 5% CO2 in RPMI 1640 media (Life Technologies) supplemented with 10% of FBS. Prior to infection, THP-1 cells were differentiated into macrophage-like cells in T-75 flasks (1×107 cells/flask) with 200nM phorbol myristate acetate (PMA, Sigma-Aldrich) for 24h followed by incubation with fresh media without PMA for 24h. At time points of 4h, 18h and 48h, cell were lysed with 2 ml of Trizol (Life Technologies) for RNA extraction.	total RNA	Trizol extraction of total RNA was performed according to the manufacturer's instructions.	biotin	Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 5 micrograms total RNA (Expression Analysis Technical Manual, 2001, Affymetrix).	9606	The biotinylated cRNA was then fragmented and subjected to hybridization on Human Genome U133 Plus 2.0 Array (Affymetrix, USA).	An affymetrix Gene Chip Scanner 3000 was used to scan the probe arrays	THP1-cells infected by CHN50.1 strains at 4h	These CEL raw expression data were normalized using Robust Multi-array Averaging (RMA) with quantile normalization in R (Bioconductor)	GPL570	Hai,,Fang	hfang@cs.bris.ac.uk	Department of Computer Science	University of Bristol	Woodland Road	Bristol	BS8 1UB	United Kingdom	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM734nnn/GSM734316/suppl/GSM734316.CEL.gz	54675	THP-1 cells	4h	CHN50.1	GSE29628
THP1-cells infected by CHN50.1 strains at 18h	GSM734317	Public on Dec 01 2011	May 31 2011	Dec 01 2011	RNA	1	THP1-cells infected by CHN50.1 strains at 18h	Homo sapiens	cell line: THP-1 cells	m. tuberculosis strain: CHN50.1	infection time: 18h	M. tuberculosis strains were grown in Middlebrook 7H9 broth (BD Difco) supplemented with 10 % of albumin-dextrose-catalase (OADC) enrichment and 0.05 % tween 80 at 37°C with shaking at 100 rpm. Bacteria were cultured until exponential phase, then aliquoted and frozen at -80℃. THP-1 cells was maintained at 37°C in 5% CO2 in RPMI 1640 media (Life Technologies) supplemented with 10% of FBS. Prior to infection, THP-1 cells were differentiated into macrophage-like cells in T-75 flasks (1×107 cells/flask) with 200nM phorbol myristate acetate (PMA, Sigma-Aldrich) for 24h followed by incubation with fresh media without PMA for 24h. At time points of 4h, 18h and 48h, cell were lysed with 2 ml of Trizol (Life Technologies) for RNA extraction.	total RNA	Trizol extraction of total RNA was performed according to the manufacturer's instructions.	biotin	Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 5 micrograms total RNA (Expression Analysis Technical Manual, 2001, Affymetrix).	9606	The biotinylated cRNA was then fragmented and subjected to hybridization on Human Genome U133 Plus 2.0 Array (Affymetrix, USA).	An affymetrix Gene Chip Scanner 3000 was used to scan the probe arrays	THP1-cells infected by CHN50.1 strains at 18h	These CEL raw expression data were normalized using Robust Multi-array Averaging (RMA) with quantile normalization in R (Bioconductor)	GPL570	Hai,,Fang	hfang@cs.bris.ac.uk	Department of Computer Science	University of Bristol	Woodland Road	Bristol	BS8 1UB	United Kingdom	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM734nnn/GSM734317/suppl/GSM734317.CEL.gz	54675	THP-1 cells	18h	CHN50.1	GSE29628
THP1-cells infected by CHN50.1 strains at 48h	GSM734318	Public on Dec 01 2011	May 31 2011	Dec 01 2011	RNA	1	THP1-cells infected by CHN50.1 strains at 48h	Homo sapiens	cell line: THP-1 cells	m. tuberculosis strain: CHN50.1	infection time: 48h	M. tuberculosis strains were grown in Middlebrook 7H9 broth (BD Difco) supplemented with 10 % of albumin-dextrose-catalase (OADC) enrichment and 0.05 % tween 80 at 37°C with shaking at 100 rpm. Bacteria were cultured until exponential phase, then aliquoted and frozen at -80℃. THP-1 cells was maintained at 37°C in 5% CO2 in RPMI 1640 media (Life Technologies) supplemented with 10% of FBS. Prior to infection, THP-1 cells were differentiated into macrophage-like cells in T-75 flasks (1×107 cells/flask) with 200nM phorbol myristate acetate (PMA, Sigma-Aldrich) for 24h followed by incubation with fresh media without PMA for 24h. At time points of 4h, 18h and 48h, cell were lysed with 2 ml of Trizol (Life Technologies) for RNA extraction.	total RNA	Trizol extraction of total RNA was performed according to the manufacturer's instructions.	biotin	Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 5 micrograms total RNA (Expression Analysis Technical Manual, 2001, Affymetrix).	9606	The biotinylated cRNA was then fragmented and subjected to hybridization on Human Genome U133 Plus 2.0 Array (Affymetrix, USA).	An affymetrix Gene Chip Scanner 3000 was used to scan the probe arrays	THP1-cells infected by CHN50.1 strains at 48h	These CEL raw expression data were normalized using Robust Multi-array Averaging (RMA) with quantile normalization in R (Bioconductor)	GPL570	Hai,,Fang	hfang@cs.bris.ac.uk	Department of Computer Science	University of Bristol	Woodland Road	Bristol	BS8 1UB	United Kingdom	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM734nnn/GSM734318/suppl/GSM734318.CEL.gz	54675	THP-1 cells	48h	CHN50.1	GSE29628
THP1-cells infected by MAD2.1 strains at 4h	GSM734319	Public on Dec 01 2011	May 31 2011	Dec 01 2011	RNA	1	THP1-cells infected by MAD2.1 strains at 4h	Homo sapiens	cell line: THP-1 cells	m. tuberculosis strain: MAD2.1	infection time: 4h	M. tuberculosis strains were grown in Middlebrook 7H9 broth (BD Difco) supplemented with 10 % of albumin-dextrose-catalase (OADC) enrichment and 0.05 % tween 80 at 37°C with shaking at 100 rpm. Bacteria were cultured until exponential phase, then aliquoted and frozen at -80℃. THP-1 cells was maintained at 37°C in 5% CO2 in RPMI 1640 media (Life Technologies) supplemented with 10% of FBS. Prior to infection, THP-1 cells were differentiated into macrophage-like cells in T-75 flasks (1×107 cells/flask) with 200nM phorbol myristate acetate (PMA, Sigma-Aldrich) for 24h followed by incubation with fresh media without PMA for 24h. At time points of 4h, 18h and 48h, cell were lysed with 2 ml of Trizol (Life Technologies) for RNA extraction.	total RNA	Trizol extraction of total RNA was performed according to the manufacturer's instructions.	biotin	Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 5 micrograms total RNA (Expression Analysis Technical Manual, 2001, Affymetrix).	9606	The biotinylated cRNA was then fragmented and subjected to hybridization on Human Genome U133 Plus 2.0 Array (Affymetrix, USA).	An affymetrix Gene Chip Scanner 3000 was used to scan the probe arrays	THP1-cells infected by MAD2.1 strains at 4h	These CEL raw expression data were normalized using Robust Multi-array Averaging (RMA) with quantile normalization in R (Bioconductor)	GPL570	Hai,,Fang	hfang@cs.bris.ac.uk	Department of Computer Science	University of Bristol	Woodland Road	Bristol	BS8 1UB	United Kingdom	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM734nnn/GSM734319/suppl/GSM734319.CEL.gz	54675	THP-1 cells	4h	MAD2.1	GSE29628
THP1-cells infected by MAD2.1 strains at 18h	GSM734320	Public on Dec 01 2011	May 31 2011	Dec 01 2011	RNA	1	THP1-cells infected by MAD2.1 strains at 18h	Homo sapiens	cell line: THP-1 cells	m. tuberculosis strain: MAD2.1	infection time: 18h	M. tuberculosis strains were grown in Middlebrook 7H9 broth (BD Difco) supplemented with 10 % of albumin-dextrose-catalase (OADC) enrichment and 0.05 % tween 80 at 37°C with shaking at 100 rpm. Bacteria were cultured until exponential phase, then aliquoted and frozen at -80℃. THP-1 cells was maintained at 37°C in 5% CO2 in RPMI 1640 media (Life Technologies) supplemented with 10% of FBS. Prior to infection, THP-1 cells were differentiated into macrophage-like cells in T-75 flasks (1×107 cells/flask) with 200nM phorbol myristate acetate (PMA, Sigma-Aldrich) for 24h followed by incubation with fresh media without PMA for 24h. At time points of 4h, 18h and 48h, cell were lysed with 2 ml of Trizol (Life Technologies) for RNA extraction.	total RNA	Trizol extraction of total RNA was performed according to the manufacturer's instructions.	biotin	Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 5 micrograms total RNA (Expression Analysis Technical Manual, 2001, Affymetrix).	9606	The biotinylated cRNA was then fragmented and subjected to hybridization on Human Genome U133 Plus 2.0 Array (Affymetrix, USA).	An affymetrix Gene Chip Scanner 3000 was used to scan the probe arrays	THP1-cells infected by MAD2.1 strains at 18h	These CEL raw expression data were normalized using Robust Multi-array Averaging (RMA) with quantile normalization in R (Bioconductor)	GPL570	Hai,,Fang	hfang@cs.bris.ac.uk	Department of Computer Science	University of Bristol	Woodland Road	Bristol	BS8 1UB	United Kingdom	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM734nnn/GSM734320/suppl/GSM734320.CEL.gz	54675	THP-1 cells	18h	MAD2.1	GSE29628
THP1-cells infected by MAD2.1 strains at 48h	GSM734321	Public on Dec 01 2011	May 31 2011	Dec 01 2011	RNA	1	THP1-cells infected by MAD2.1 strains at 48h	Homo sapiens	cell line: THP-1 cells	m. tuberculosis strain: MAD2.1	infection time: 48h	M. tuberculosis strains were grown in Middlebrook 7H9 broth (BD Difco) supplemented with 10 % of albumin-dextrose-catalase (OADC) enrichment and 0.05 % tween 80 at 37°C with shaking at 100 rpm. Bacteria were cultured until exponential phase, then aliquoted and frozen at -80℃. THP-1 cells was maintained at 37°C in 5% CO2 in RPMI 1640 media (Life Technologies) supplemented with 10% of FBS. Prior to infection, THP-1 cells were differentiated into macrophage-like cells in T-75 flasks (1×107 cells/flask) with 200nM phorbol myristate acetate (PMA, Sigma-Aldrich) for 24h followed by incubation with fresh media without PMA for 24h. At time points of 4h, 18h and 48h, cell were lysed with 2 ml of Trizol (Life Technologies) for RNA extraction.	total RNA	Trizol extraction of total RNA was performed according to the manufacturer's instructions.	biotin	Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 5 micrograms total RNA (Expression Analysis Technical Manual, 2001, Affymetrix).	9606	The biotinylated cRNA was then fragmented and subjected to hybridization on Human Genome U133 Plus 2.0 Array (Affymetrix, USA).	An affymetrix Gene Chip Scanner 3000 was used to scan the probe arrays	THP1-cells infected by MAD2.1 strains at 48h	These CEL raw expression data were normalized using Robust Multi-array Averaging (RMA) with quantile normalization in R (Bioconductor)	GPL570	Hai,,Fang	hfang@cs.bris.ac.uk	Department of Computer Science	University of Bristol	Woodland Road	Bristol	BS8 1UB	United Kingdom	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM734nnn/GSM734321/suppl/GSM734321.CEL.gz	54675	THP-1 cells	48h	MAD2.1	GSE29628
THP1-cells infected by CHN50.2 strains at 4h	GSM734322	Public on Dec 01 2011	May 31 2011	Dec 01 2011	RNA	1	THP1-cells infected by CHN50.2 strains at 4h	Homo sapiens	cell line: THP-1 cells	m. tuberculosis strain: CHN50.2	infection time: 4h	M. tuberculosis strains were grown in Middlebrook 7H9 broth (BD Difco) supplemented with 10 % of albumin-dextrose-catalase (OADC) enrichment and 0.05 % tween 80 at 37°C with shaking at 100 rpm. Bacteria were cultured until exponential phase, then aliquoted and frozen at -80℃. THP-1 cells was maintained at 37°C in 5% CO2 in RPMI 1640 media (Life Technologies) supplemented with 10% of FBS. Prior to infection, THP-1 cells were differentiated into macrophage-like cells in T-75 flasks (1×107 cells/flask) with 200nM phorbol myristate acetate (PMA, Sigma-Aldrich) for 24h followed by incubation with fresh media without PMA for 24h. At time points of 4h, 18h and 48h, cell were lysed with 2 ml of Trizol (Life Technologies) for RNA extraction.	total RNA	Trizol extraction of total RNA was performed according to the manufacturer's instructions.	biotin	Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 5 micrograms total RNA (Expression Analysis Technical Manual, 2001, Affymetrix).	9606	The biotinylated cRNA was then fragmented and subjected to hybridization on Human Genome U133 Plus 2.0 Array (Affymetrix, USA).	An affymetrix Gene Chip Scanner 3000 was used to scan the probe arrays	THP1-cells infected by CHN50.2 strains at 4h	These CEL raw expression data were normalized using Robust Multi-array Averaging (RMA) with quantile normalization in R (Bioconductor)	GPL570	Hai,,Fang	hfang@cs.bris.ac.uk	Department of Computer Science	University of Bristol	Woodland Road	Bristol	BS8 1UB	United Kingdom	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM734nnn/GSM734322/suppl/GSM734322.CEL.gz	54675	THP-1 cells	4h	CHN50.2	GSE29628
THP1-cells infected by CHN50.2 strains at 18h	GSM734323	Public on Dec 01 2011	May 31 2011	Dec 01 2011	RNA	1	THP1-cells infected by CHN50.2 strains at 18h	Homo sapiens	cell line: THP-1 cells	m. tuberculosis strain: CHN50.2	infection time: 18h	M. tuberculosis strains were grown in Middlebrook 7H9 broth (BD Difco) supplemented with 10 % of albumin-dextrose-catalase (OADC) enrichment and 0.05 % tween 80 at 37°C with shaking at 100 rpm. Bacteria were cultured until exponential phase, then aliquoted and frozen at -80℃. THP-1 cells was maintained at 37°C in 5% CO2 in RPMI 1640 media (Life Technologies) supplemented with 10% of FBS. Prior to infection, THP-1 cells were differentiated into macrophage-like cells in T-75 flasks (1×107 cells/flask) with 200nM phorbol myristate acetate (PMA, Sigma-Aldrich) for 24h followed by incubation with fresh media without PMA for 24h. At time points of 4h, 18h and 48h, cell were lysed with 2 ml of Trizol (Life Technologies) for RNA extraction.	total RNA	Trizol extraction of total RNA was performed according to the manufacturer's instructions.	biotin	Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 5 micrograms total RNA (Expression Analysis Technical Manual, 2001, Affymetrix).	9606	The biotinylated cRNA was then fragmented and subjected to hybridization on Human Genome U133 Plus 2.0 Array (Affymetrix, USA).	An affymetrix Gene Chip Scanner 3000 was used to scan the probe arrays	THP1-cells infected by CHN50.2 strains at 18h	These CEL raw expression data were normalized using Robust Multi-array Averaging (RMA) with quantile normalization in R (Bioconductor)	GPL570	Hai,,Fang	hfang@cs.bris.ac.uk	Department of Computer Science	University of Bristol	Woodland Road	Bristol	BS8 1UB	United Kingdom	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM734nnn/GSM734323/suppl/GSM734323.CEL.gz	54675	THP-1 cells	18h	CHN50.2	GSE29628
THP1-cells infected by CHN50.2 strains at 48h	GSM734324	Public on Dec 01 2011	May 31 2011	Dec 01 2011	RNA	1	THP1-cells infected by CHN50.2 strains at 48h	Homo sapiens	cell line: THP-1 cells	m. tuberculosis strain: CHN50.2	infection time: 48h	M. tuberculosis strains were grown in Middlebrook 7H9 broth (BD Difco) supplemented with 10 % of albumin-dextrose-catalase (OADC) enrichment and 0.05 % tween 80 at 37°C with shaking at 100 rpm. Bacteria were cultured until exponential phase, then aliquoted and frozen at -80℃. THP-1 cells was maintained at 37°C in 5% CO2 in RPMI 1640 media (Life Technologies) supplemented with 10% of FBS. Prior to infection, THP-1 cells were differentiated into macrophage-like cells in T-75 flasks (1×107 cells/flask) with 200nM phorbol myristate acetate (PMA, Sigma-Aldrich) for 24h followed by incubation with fresh media without PMA for 24h. At time points of 4h, 18h and 48h, cell were lysed with 2 ml of Trizol (Life Technologies) for RNA extraction.	total RNA	Trizol extraction of total RNA was performed according to the manufacturer's instructions.	biotin	Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 5 micrograms total RNA (Expression Analysis Technical Manual, 2001, Affymetrix).	9606	The biotinylated cRNA was then fragmented and subjected to hybridization on Human Genome U133 Plus 2.0 Array (Affymetrix, USA).	An affymetrix Gene Chip Scanner 3000 was used to scan the probe arrays	THP1-cells infected by CHN50.2 strains at 48h	These CEL raw expression data were normalized using Robust Multi-array Averaging (RMA) with quantile normalization in R (Bioconductor)	GPL570	Hai,,Fang	hfang@cs.bris.ac.uk	Department of Computer Science	University of Bristol	Woodland Road	Bristol	BS8 1UB	United Kingdom	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM734nnn/GSM734324/suppl/GSM734324.CEL.gz	54675	THP-1 cells	48h	CHN50.2	GSE29628
