title	geo_accession	status	submission_date	last_update_date	type	channel_count	source_name_ch1	organism_ch1	characteristics_ch1	characteristics_ch1.1	characteristics_ch1.2	treatment_protocol_ch1	molecule_ch1	extract_protocol_ch1	label_ch1	label_protocol_ch1	taxid_ch1	hyb_protocol	scan_protocol	description	data_processing	platform_id	contact_name	contact_email	contact_institute	contact_address	contact_city	contact_zip/postal_code	contact_country	supplementary_file	data_row_count	sample day:ch1	subject id:ch1	tissue:ch1	series_id
WB, Day 47, PID 7	GSM2737896	Public on Mar 19 2018	Aug 09 2017	Mar 19 2018	RNA	1	WB samples from subject 7 at Day 47	Homo sapiens	tissue: Whole Blood (WB)	subject id: 7	sample day: D47	PAXgene preserved whole blood samples were centrifuged, resuspended in lysis buffer and treated with proteinase K.	total RNA	Total RNA was isolated by PAXgene Blood RNA kit (Qiagen) according to the manufacturer’s protocol. A DNAse treatment was applied on the PAXgene RNA spin column to avoid genomic DNA contamination. RNA was quantified by UV-spectrophotometry.	biotin	Biotinylated cDNA were prepared according to NuGen Ovation WB amplification protocol from 50ng total RNA	9606	After fragmentation, 3.75 ug of cDNA were hybridized for 16 hr at 45C on GeneChip_ Human Genome U133 Plus 2.0 arrays following standard procedures.	Data acquisition was performed using GeneChip Operating Software (Affymetrix).	WB sample, 17 days after 2nd vaccination	The data were analyzed with R/Bioconductor using GCRMA as summarization/normalization method	GPL570	Laurane,,De Mot	laurane.demot@gmail.com	GSK Vaccines	Rue de l'Institut 89	Rixensart	1330	Belgium	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2737nnn/GSM2737896/suppl/GSM2737896__52001900930892123014418971280099.CEL.gz	54675	D47	7	Whole Blood (WB)	GSE102459
WB, Day 31, PID 7	GSM2737897	Public on Mar 19 2018	Aug 09 2017	Mar 19 2018	RNA	1	WB samples from subject 7 at Day 31	Homo sapiens	tissue: Whole Blood (WB)	subject id: 7	sample day: D31	PAXgene preserved whole blood samples were centrifuged, resuspended in lysis buffer and treated with proteinase K.	total RNA	Total RNA was isolated by PAXgene Blood RNA kit (Qiagen) according to the manufacturer’s protocol. A DNAse treatment was applied on the PAXgene RNA spin column to avoid genomic DNA contamination. RNA was quantified by UV-spectrophotometry.	biotin	Biotinylated cDNA were prepared according to NuGen Ovation WB amplification protocol from 50ng total RNA	9606	After fragmentation, 3.75 ug of cDNA were hybridized for 16 hr at 45C on GeneChip_ Human Genome U133 Plus 2.0 arrays following standard procedures.	Data acquisition was performed using GeneChip Operating Software (Affymetrix).	WB sample, 1 day after 2nd vaccination	The data were analyzed with R/Bioconductor using GCRMA as summarization/normalization method	GPL570	Laurane,,De Mot	laurane.demot@gmail.com	GSK Vaccines	Rue de l'Institut 89	Rixensart	1330	Belgium	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2737nnn/GSM2737897/suppl/GSM2737897__52001900930893123014418971280162.CEL.gz	54675	D31	7	Whole Blood (WB)	GSE102459
WB, Day 37, PID 5	GSM2737898	Public on Mar 19 2018	Aug 09 2017	Mar 19 2018	RNA	1	WB samples from subject 5 at Day 37	Homo sapiens	tissue: Whole Blood (WB)	subject id: 5	sample day: D37	PAXgene preserved whole blood samples were centrifuged, resuspended in lysis buffer and treated with proteinase K.	total RNA	Total RNA was isolated by PAXgene Blood RNA kit (Qiagen) according to the manufacturer’s protocol. A DNAse treatment was applied on the PAXgene RNA spin column to avoid genomic DNA contamination. RNA was quantified by UV-spectrophotometry.	biotin	Biotinylated cDNA were prepared according to NuGen Ovation WB amplification protocol from 50ng total RNA	9606	After fragmentation, 3.75 ug of cDNA were hybridized for 16 hr at 45C on GeneChip_ Human Genome U133 Plus 2.0 arrays following standard procedures.	Data acquisition was performed using GeneChip Operating Software (Affymetrix).	WB sample, 7 days after 2nd vaccination	The data were analyzed with R/Bioconductor using GCRMA as summarization/normalization method	GPL570	Laurane,,De Mot	laurane.demot@gmail.com	GSK Vaccines	Rue de l'Institut 89	Rixensart	1330	Belgium	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2737nnn/GSM2737898/suppl/GSM2737898__52001900930893123014418971280163.CEL.gz	54675	D37	5	Whole Blood (WB)	GSE102459
WB, Day 44, PID 16	GSM2737899	Public on Mar 19 2018	Aug 09 2017	Mar 19 2018	RNA	1	WB samples from subject 16 at Day 44	Homo sapiens	tissue: Whole Blood (WB)	subject id: 16	sample day: D44	PAXgene preserved whole blood samples were centrifuged, resuspended in lysis buffer and treated with proteinase K.	total RNA	Total RNA was isolated by PAXgene Blood RNA kit (Qiagen) according to the manufacturer’s protocol. A DNAse treatment was applied on the PAXgene RNA spin column to avoid genomic DNA contamination. RNA was quantified by UV-spectrophotometry.	biotin	Biotinylated cDNA were prepared according to NuGen Ovation WB amplification protocol from 50ng total RNA	9606	After fragmentation, 3.75 ug of cDNA were hybridized for 16 hr at 45C on GeneChip_ Human Genome U133 Plus 2.0 arrays following standard procedures.	Data acquisition was performed using GeneChip Operating Software (Affymetrix).	WB sample, 14 days after 2nd vaccination	The data were analyzed with R/Bioconductor using GCRMA as summarization/normalization method	GPL570	Laurane,,De Mot	laurane.demot@gmail.com	GSK Vaccines	Rue de l'Institut 89	Rixensart	1330	Belgium	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2737nnn/GSM2737899/suppl/GSM2737899__52001900941312102115421492171467.CEL.gz	54675	D44	16	Whole Blood (WB)	GSE102459
WB, Day 30, PID 16	GSM2737900	Public on Mar 19 2018	Aug 09 2017	Mar 19 2018	RNA	1	WB samples from subject 16 at Day 30	Homo sapiens	tissue: Whole Blood (WB)	subject id: 16	sample day: D30	PAXgene preserved whole blood samples were centrifuged, resuspended in lysis buffer and treated with proteinase K.	total RNA	Total RNA was isolated by PAXgene Blood RNA kit (Qiagen) according to the manufacturer’s protocol. A DNAse treatment was applied on the PAXgene RNA spin column to avoid genomic DNA contamination. RNA was quantified by UV-spectrophotometry.	biotin	Biotinylated cDNA were prepared according to NuGen Ovation WB amplification protocol from 50ng total RNA	9606	After fragmentation, 3.75 ug of cDNA were hybridized for 16 hr at 45C on GeneChip_ Human Genome U133 Plus 2.0 arrays following standard procedures.	Data acquisition was performed using GeneChip Operating Software (Affymetrix).	WB sample, Day of 2nd vaccination, before vaccination	The data were analyzed with R/Bioconductor using GCRMA as summarization/normalization method	GPL570	Laurane,,De Mot	laurane.demot@gmail.com	GSK Vaccines	Rue de l'Institut 89	Rixensart	1330	Belgium	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2737nnn/GSM2737900/suppl/GSM2737900__52001900930890123014418971279959.CEL.gz	54675	D30	16	Whole Blood (WB)	GSE102459
WB, Day 37, PID 12	GSM2737901	Public on Mar 19 2018	Aug 09 2017	Mar 19 2018	RNA	1	WB samples from subject 12 at Day 37	Homo sapiens	tissue: Whole Blood (WB)	subject id: 12	sample day: D37	PAXgene preserved whole blood samples were centrifuged, resuspended in lysis buffer and treated with proteinase K.	total RNA	Total RNA was isolated by PAXgene Blood RNA kit (Qiagen) according to the manufacturer’s protocol. A DNAse treatment was applied on the PAXgene RNA spin column to avoid genomic DNA contamination. RNA was quantified by UV-spectrophotometry.	biotin	Biotinylated cDNA were prepared according to NuGen Ovation WB amplification protocol from 50ng total RNA	9606	After fragmentation, 3.75 ug of cDNA were hybridized for 16 hr at 45C on GeneChip_ Human Genome U133 Plus 2.0 arrays following standard procedures.	Data acquisition was performed using GeneChip Operating Software (Affymetrix).	WB sample, 7 days after 2nd vaccination	The data were analyzed with R/Bioconductor using GCRMA as summarization/normalization method	GPL570	Laurane,,De Mot	laurane.demot@gmail.com	GSK Vaccines	Rue de l'Institut 89	Rixensart	1330	Belgium	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2737nnn/GSM2737901/suppl/GSM2737901__52001900930890123014418971279962.CEL.gz	54675	D37	12	Whole Blood (WB)	GSE102459
WB, Day 37, PID 17	GSM2737902	Public on Mar 19 2018	Aug 09 2017	Mar 19 2018	RNA	1	WB samples from subject 17 at Day 37	Homo sapiens	tissue: Whole Blood (WB)	subject id: 17	sample day: D37	PAXgene preserved whole blood samples were centrifuged, resuspended in lysis buffer and treated with proteinase K.	total RNA	Total RNA was isolated by PAXgene Blood RNA kit (Qiagen) according to the manufacturer’s protocol. A DNAse treatment was applied on the PAXgene RNA spin column to avoid genomic DNA contamination. RNA was quantified by UV-spectrophotometry.	biotin	Biotinylated cDNA were prepared according to NuGen Ovation WB amplification protocol from 50ng total RNA	9606	After fragmentation, 3.75 ug of cDNA were hybridized for 16 hr at 45C on GeneChip_ Human Genome U133 Plus 2.0 arrays following standard procedures.	Data acquisition was performed using GeneChip Operating Software (Affymetrix).	WB sample, 7 days after 2nd vaccination	The data were analyzed with R/Bioconductor using GCRMA as summarization/normalization method	GPL570	Laurane,,De Mot	laurane.demot@gmail.com	GSK Vaccines	Rue de l'Institut 89	Rixensart	1330	Belgium	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2737nnn/GSM2737902/suppl/GSM2737902__52001900930890123014418971279973.CEL.gz	54675	D37	17	Whole Blood (WB)	GSE102459
WB, Day 37, PID 9	GSM2737903	Public on Mar 19 2018	Aug 09 2017	Mar 19 2018	RNA	1	WB samples from subject 9 at Day 37	Homo sapiens	tissue: Whole Blood (WB)	subject id: 9	sample day: D37	PAXgene preserved whole blood samples were centrifuged, resuspended in lysis buffer and treated with proteinase K.	total RNA	Total RNA was isolated by PAXgene Blood RNA kit (Qiagen) according to the manufacturer’s protocol. A DNAse treatment was applied on the PAXgene RNA spin column to avoid genomic DNA contamination. RNA was quantified by UV-spectrophotometry.	biotin	Biotinylated cDNA were prepared according to NuGen Ovation WB amplification protocol from 50ng total RNA	9606	After fragmentation, 3.75 ug of cDNA were hybridized for 16 hr at 45C on GeneChip_ Human Genome U133 Plus 2.0 arrays following standard procedures.	Data acquisition was performed using GeneChip Operating Software (Affymetrix).	WB sample, 7 days after 2nd vaccination	The data were analyzed with R/Bioconductor using GCRMA as summarization/normalization method	GPL570	Laurane,,De Mot	laurane.demot@gmail.com	GSK Vaccines	Rue de l'Institut 89	Rixensart	1330	Belgium	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2737nnn/GSM2737903/suppl/GSM2737903__52001900930890123014418971279981.CEL.gz	54675	D37	9	Whole Blood (WB)	GSE102459
WB, Day 31, PID 10	GSM2737904	Public on Mar 19 2018	Aug 09 2017	Mar 19 2018	RNA	1	WB samples from subject 10 at Day 31	Homo sapiens	tissue: Whole Blood (WB)	subject id: 10	sample day: D31	PAXgene preserved whole blood samples were centrifuged, resuspended in lysis buffer and treated with proteinase K.	total RNA	Total RNA was isolated by PAXgene Blood RNA kit (Qiagen) according to the manufacturer’s protocol. A DNAse treatment was applied on the PAXgene RNA spin column to avoid genomic DNA contamination. RNA was quantified by UV-spectrophotometry.	biotin	Biotinylated cDNA were prepared according to NuGen Ovation WB amplification protocol from 50ng total RNA	9606	After fragmentation, 3.75 ug of cDNA were hybridized for 16 hr at 45C on GeneChip_ Human Genome U133 Plus 2.0 arrays following standard procedures.	Data acquisition was performed using GeneChip Operating Software (Affymetrix).	WB sample, 1 day after 2nd vaccination	The data were analyzed with R/Bioconductor using GCRMA as summarization/normalization method	GPL570	Laurane,,De Mot	laurane.demot@gmail.com	GSK Vaccines	Rue de l'Institut 89	Rixensart	1330	Belgium	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2737nnn/GSM2737904/suppl/GSM2737904__52001900930890123014418971279983.CEL.gz	54675	D31	10	Whole Blood (WB)	GSE102459
WB, Day 0, PID 10	GSM2737905	Public on Mar 19 2018	Aug 09 2017	Mar 19 2018	RNA	1	WB samples from subject 10 at Day 0	Homo sapiens	tissue: Whole Blood (WB)	subject id: 10	sample day: D0	PAXgene preserved whole blood samples were centrifuged, resuspended in lysis buffer and treated with proteinase K.	total RNA	Total RNA was isolated by PAXgene Blood RNA kit (Qiagen) according to the manufacturer’s protocol. A DNAse treatment was applied on the PAXgene RNA spin column to avoid genomic DNA contamination. RNA was quantified by UV-spectrophotometry.	biotin	Biotinylated cDNA were prepared according to NuGen Ovation WB amplification protocol from 50ng total RNA	9606	After fragmentation, 3.75 ug of cDNA were hybridized for 16 hr at 45C on GeneChip_ Human Genome U133 Plus 2.0 arrays following standard procedures.	Data acquisition was performed using GeneChip Operating Software (Affymetrix).	WB sample, Day of 1st vaccination, before vaccination	The data were analyzed with R/Bioconductor using GCRMA as summarization/normalization method	GPL570	Laurane,,De Mot	laurane.demot@gmail.com	GSK Vaccines	Rue de l'Institut 89	Rixensart	1330	Belgium	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2737nnn/GSM2737905/suppl/GSM2737905__52001900930891123014418971280046.CEL.gz	54675	D0	10	Whole Blood (WB)	GSE102459
WB, Day 44, PID 4	GSM2737906	Public on Mar 19 2018	Aug 09 2017	Mar 19 2018	RNA	1	WB samples from subject 4 at Day 44	Homo sapiens	tissue: Whole Blood (WB)	subject id: 4	sample day: D44	PAXgene preserved whole blood samples were centrifuged, resuspended in lysis buffer and treated with proteinase K.	total RNA	Total RNA was isolated by PAXgene Blood RNA kit (Qiagen) according to the manufacturer’s protocol. A DNAse treatment was applied on the PAXgene RNA spin column to avoid genomic DNA contamination. RNA was quantified by UV-spectrophotometry.	biotin	Biotinylated cDNA were prepared according to NuGen Ovation WB amplification protocol from 50ng total RNA	9606	After fragmentation, 3.75 ug of cDNA were hybridized for 16 hr at 45C on GeneChip_ Human Genome U133 Plus 2.0 arrays following standard procedures.	Data acquisition was performed using GeneChip Operating Software (Affymetrix).	WB sample, 14 days after 2nd vaccination	The data were analyzed with R/Bioconductor using GCRMA as summarization/normalization method	GPL570	Laurane,,De Mot	laurane.demot@gmail.com	GSK Vaccines	Rue de l'Institut 89	Rixensart	1330	Belgium	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2737nnn/GSM2737906/suppl/GSM2737906__52001900930892123014418971280080.CEL.gz	54675	D44	4	Whole Blood (WB)	GSE102459
