GO_term	median_diff	p_value	statistic	p_adj	auroc
protein K48-linked ubiquitination	NA	NA	NA	NA	NA
protein K63-linked ubiquitination	NA	NA	NA	NA	NA
protein alkylation	NA	NA	NA	NA	NA
protein auto-ADP-ribosylation	NA	NA	NA	NA	NA
protein autoubiquitination	NA	NA	NA	NA	NA
protein deacylation	NA	NA	NA	NA	NA
protein dealkylation	NA	NA	NA	NA	NA
protein demethylation	NA	NA	NA	NA	NA
protein depolymerization	NA	NA	NA	NA	NA
protein destabilization	NA	NA	NA	NA	NA
protein deubiquitination	NA	NA	NA	NA	NA
protein deubiquitination involved in ubiquitin-dependent protein catabolic process	NA	NA	NA	NA	NA
protein exit from endoplasmic reticulum	NA	NA	NA	NA	NA
protein export from nucleus	NA	NA	NA	NA	NA
protein folding in endoplasmic reticulum	NA	NA	NA	NA	NA
protein homooligomerization	NA	NA	NA	NA	NA
protein import into nucleus	NA	NA	NA	NA	NA
protein insertion into mitochondrial membrane	NA	NA	NA	NA	NA
protein kinase B signaling	0	0.9203625545416256	89	0.9662360726649782	0.483695652173913
protein kinase C signaling	NA	NA	NA	NA	NA
protein kinase C-activating G protein-coupled receptor signaling pathway	NA	NA	NA	NA	NA
protein linear polyubiquitination	NA	NA	NA	NA	NA
protein lipidation	NA	NA	NA	NA	NA
protein localization to Cajal body	NA	NA	NA	NA	NA
protein localization to cell junction	NA	NA	NA	NA	NA
protein localization to cell surface	NA	NA	NA	NA	NA
protein localization to centrosome	NA	NA	NA	NA	NA
protein localization to chromatin	NA	NA	NA	NA	NA
protein localization to chromosome	NA	NA	NA	NA	NA
protein localization to chromosome, centromeric region	NA	NA	NA	NA	NA
protein localization to chromosome, telomeric region	NA	NA	NA	NA	NA
protein localization to condensed chromosome	NA	NA	NA	NA	NA
protein localization to cytoskeleton	NA	NA	NA	NA	NA
protein localization to endoplasmic reticulum	NA	NA	NA	NA	NA
protein localization to endosome	NA	NA	NA	NA	NA
protein localization to kinetochore	NA	NA	NA	NA	NA
protein localization to lysosome	NA	NA	NA	NA	NA
protein localization to microtubule cytoskeleton	NA	NA	NA	NA	NA
protein localization to microtubule organizing center	NA	NA	NA	NA	NA
protein localization to mitochondrion	NA	NA	NA	NA	NA
protein localization to nuclear body	NA	NA	NA	NA	NA
protein localization to nuclear envelope	NA	NA	NA	NA	NA
protein localization to nucleoplasm	NA	NA	NA	NA	NA
protein localization to phagophore assembly site	NA	NA	NA	NA	NA
protein localization to vacuole	NA	NA	NA	NA	NA
protein methylation	NA	NA	NA	NA	NA
protein modification by small protein removal	NA	NA	NA	NA	NA
protein monoubiquitination	NA	NA	NA	NA	NA
protein quality control for misfolded or incompletely synthesized proteins	NA	NA	NA	NA	NA
protein refolding	0	0.12207878896873062	109	0.62571222592143	0.592391304347826
protein sumoylation	NA	NA	NA	NA	NA
protein targeting to ER	NA	NA	NA	NA	NA
protein targeting to lysosome	NA	NA	NA	NA	NA
protein targeting to membrane	NA	NA	NA	NA	NA
protein targeting to mitochondrion	NA	NA	NA	NA	NA
protein targeting to vacuole	NA	NA	NA	NA	NA
protein transport to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway	NA	NA	NA	NA	NA
protein-DNA complex disassembly	NA	NA	NA	NA	NA
protein-lipid complex assembly	NA	NA	NA	NA	NA
proton motive force-driven ATP synthesis	NA	NA	NA	NA	NA
proton transmembrane transport	NA	NA	NA	NA	NA
protoporphyrinogen IX metabolic process	NA	NA	NA	NA	NA
pseudopodium assembly	NA	NA	NA	NA	NA
pseudopodium organization	NA	NA	NA	NA	NA
purine nucleobase transmembrane transport	NA	NA	NA	NA	NA
purine nucleoside biosynthetic process	NA	NA	NA	NA	NA
purine nucleoside catabolic process	NA	NA	NA	NA	NA
purine nucleoside diphosphate metabolic process	0	0.41729653601905065	96.5	0.8017867405900627	0.5244565217391305
purine nucleoside monophosphate catabolic process	NA	NA	NA	NA	NA
purine nucleoside monophosphate metabolic process	NA	NA	NA	NA	NA
purine nucleoside triphosphate biosynthetic process	NA	NA	NA	NA	NA
purine ribonucleoside biosynthetic process	NA	NA	NA	NA	NA
purine ribonucleoside diphosphate metabolic process	0	0.41729653601905065	96.5	0.8017867405900627	0.5244565217391305
purine ribonucleoside monophosphate catabolic process	NA	NA	NA	NA	NA
purine ribonucleoside triphosphate biosynthetic process	NA	NA	NA	NA	NA
purinergic nucleotide receptor signaling pathway	NA	NA	NA	NA	NA
putrescine metabolic process	NA	NA	NA	NA	NA
pyridine nucleotide biosynthetic process	NA	NA	NA	NA	NA
pyridine nucleotide metabolic process	NA	NA	NA	NA	NA
pyridine-containing compound biosynthetic process	NA	NA	NA	NA	NA
pyridine-containing compound metabolic process	NA	NA	NA	NA	NA
