Description	dn_aggregated_RNAseq_0.8	dn_aggregated_RNAseq_DE	dn_aggregated_RNAseq	GSE100897_MTB_control_24h_THP-1	GSE100897_MTB_control_6h_THP-1	GSE110564_MTB_control_blood_lymphatic_endothelial_cell	GSE112482_MTB_control_lung_ILC1	GSE112482_MTB_control_lung_ILC2	GSE112482_MTB_control_lung_ILC3neg	GSE112482_MTB_control_lung_ILC3pos	GSE112482_MTB_control_lung_NK	GSE112482_MTB_control_lung_susp	GSE132283_MTB_control_blood_macrophage	GSE141656_MTB_control_blood_blood	GSE143627_MTB_control_PBMC_macrophage	GSE143731_MTB_control_blood_monocyte_derived_macrophages	GSE148171_MTB_control_blood_PBMC	GSE148731_MTB_control_blood_monocytes	GSE164287_MTB_control_blood_monocyte_derived_macrophages	GSE165708_MTB_control_BAL_bronchoalveolar_lavage	GSE174566_MTB_control_blood_PBMC	GSE183912_MTB_control_blood_marcophages	GSE193777_MTB_control_blood	GSE198557_MTB_control_blood_PBMC	GSE211974_MTB_control_48h_blood_THP-1	GSE211974_MTB_control_blood_THP-1	GSE236156_MTB_control_BALF_alveolar_macrophage	GSE236156_MTB_control_blood_monocyte_derived_macrophage	GSE256184_MTB_control_HEPG2_HepG2	GSE64179_MTB_control_blood_dendritic_cells	GSE64182_MTB_control_blood_dendritic_cells	GSE84076_MTB_control_blood
activation of protein kinase activity	NA	0.011343283582089553	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
acute inflammatory response	NA	0.019701492537313434	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
acute-phase response	NA	0.008955223880597015	0.030927835051546393	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
acyl-CoA biosynthetic process	NA	NA	NA	0.0047997600119994	0.0047997600119994	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.005085529357374018	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
acyl-CoA metabolic process	NA	NA	NA	0.00839958002099895	0.00839958002099895	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00940052396363076	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
adenylate cyclase-activating G protein-coupled receptor signaling pathway	NA	0.0191044776119403	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
adiponectin secretion	0.010309278350515464	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ADP catabolic process	NA	NA	0.07216494845360824	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ADP metabolic process	NA	NA	0.07216494845360824	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
aerobic electron transport chain	NA	NA	NA	0.009149542522873857	0.009149542522873857	NA	0.011239669421487603	0.011239669421487603	0.011239669421487603	0.011239669421487603	0.011239669421487603	0.011239669421487603	NA	0.0091699604743083	NA	NA	NA	NA	0.010941593465865311	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00971010413734872	NA	NA
aerobic respiration	NA	NA	NA	0.02069896505174741	0.02069896505174741	0.01578083575306148	0.02512396694214876	0.02512396694214876	0.02512396694214876	0.02512396694214876	0.02512396694214876	0.02512396694214876	NA	0.019762845849802372	NA	NA	NA	NA	0.022653721682847898	0.016612698859636774	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.02054601745004222	NA	NA
aggrephagy	0.010309278350515464	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIM2 inflammasome complex assembly	NA	0.0023880597014925373	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
alcohol biosynthetic process	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.011403914316535676	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
alpha-amino acid biosynthetic process	NA	NA	NA	0.005699715014249288	0.005699715014249288	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.005856064108491293	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
alpha-amino acid catabolic process	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.008070656311862342	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
alpha-beta T cell activation	NA	0.03940298507462687	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.014967259120673527
alpha-beta T cell activation involved in immune response	NA	0.022686567164179106	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0076395385095104455
alpha-beta T cell differentiation	0.030927835051546393	0.03044776119402985	0.041237113402061855	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.011069535391331462
alpha-beta T cell differentiation involved in immune response	NA	0.022686567164179106	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0076395385095104455
alpha-beta T cell lineage commitment	0.015463917525773196	0.006567164179104477	0.030927835051546393	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
alpha-beta T cell proliferation	NA	0.010746268656716417	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
alpha-linolenic acid metabolic process	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0013869625520110957	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
alternative mRNA splicing, via spliceosome	NA	NA	NA	NA	NA	NA	0.00859504132231405	0.00859504132231405	0.00859504132231405	0.00859504132231405	0.00859504132231405	0.00859504132231405	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.007171811661989398
amide biosynthetic process	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.013407304669440592	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
amino acid activation	NA	NA	NA	0.0050997450127493625	0.0050997450127493625	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.004634227077126779	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
amino acid biosynthetic process	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.006626598859608568	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
amino acid catabolic process	NA	NA	NA	0.008849557522123894	0.008849557522123894	NA	NA	NA	NA	NA	NA	NA	NA	0.009644268774703557	0.00944114511953708	NA	NA	0.009599470374048328	NA	NA	NA	NA	NA	NA	NA	NA	0.009324343709654282	0.009324343709654282	NA	NA	NA	NA
amino acid import across plasma membrane	NA	0.007761194029850746	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
amino sugar metabolic process	NA	0.005970149253731343	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
aminoacyl-tRNA metabolism involved in translational fidelity	NA	NA	NA	0.0016499175041247937	0.0016499175041247937	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
aminoglycan biosynthetic process	NA	0.011940298507462687	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
aminoglycan metabolic process	NA	0.0191044776119403	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AMP biosynthetic process	NA	NA	NA	0.001799910004499775	0.001799910004499775	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AMP catabolic process	NA	0.001791044776119403	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AMP metabolic process	NA	NA	NA	0.0025498725063746812	0.0025498725063746812	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
amyloid precursor protein metabolic process	NA	NA	NA	NA	NA	NA	0.007933884297520661	0.007933884297520661	0.007933884297520661	0.007933884297520661	0.007933884297520661	0.007933884297520661	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
amyloid-beta clearance	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.004006780705809832	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
amyloid-beta clearance by transcytosis	NA	NA	NA	NA	NA	NA	0.0019834710743801653	0.0019834710743801653	0.0019834710743801653	0.0019834710743801653	0.0019834710743801653	0.0019834710743801653	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
amyloid-beta formation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.004127829560585885	0.004127829560585885	NA	NA	NA	NA	NA	NA
amyloid-beta metabolic process	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.004931422407150563	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
anaphase-promoting complex-dependent catabolic process	NA	NA	NA	0.0026998650067496625	0.0026998650067496625	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.002740977615349475	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
androgen receptor signaling pathway	NA	NA	NA	NA	NA	NA	0.006942148760330578	0.006942148760330578	0.006942148760330578	0.006942148760330578	0.006942148760330578	0.006942148760330578	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
angiogenesis involved in wound healing	0.015463917525773196	0.005373134328358209	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
anoikis	0.015463917525773196	NA	0.030927835051546393	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
anterograde synaptic vesicle transport	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.002311604253351826	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
antigen processing and presentation	0.041237113402061855	0.0191044776119403	0.05154639175257732	NA	NA	NA	0.012231404958677685	0.012231404958677685	0.012231404958677685	0.012231404958677685	0.012231404958677685	0.012231404958677685	NA	NA	NA	NA	NA	NA	0.010479272615194945	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
antigen processing and presentation of endogenous antigen	NA	0.005373134328358209	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
antigen processing and presentation of endogenous peptide antigen	NA	0.005373134328358209	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
antigen processing and presentation of endogenous peptide antigen via MHC class I	NA	0.005373134328358209	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway	NA	0.00417910447761194	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway, TAP-independent	NA	0.003582089552238806	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
antigen processing and presentation of endogenous peptide antigen via MHC class Ib	NA	0.00417910447761194	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
antigen processing and presentation of exogenous antigen	0.02577319587628866	0.00835820895522388	NA	NA	NA	NA	0.0059504132231404955	0.0059504132231404955	0.0059504132231404955	0.0059504132231404955	0.0059504132231404955	0.0059504132231404955	NA	NA	NA	NA	NA	NA	0.005085529357374018	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
antigen processing and presentation of exogenous peptide antigen	0.020618556701030927	0.007761194029850746	NA	NA	NA	NA	0.005619834710743801	0.005619834710743801	0.005619834710743801	0.005619834710743801	0.005619834710743801	0.005619834710743801	NA	NA	NA	NA	NA	NA	0.004006780705809832	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
antigen processing and presentation of exogenous peptide antigen via MHC class II	0.020618556701030927	NA	NA	NA	NA	NA	0.005289256198347108	0.005289256198347108	0.005289256198347108	0.005289256198347108	0.005289256198347108	0.005289256198347108	NA	NA	NA	NA	NA	NA	0.003236245954692557	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
antigen processing and presentation of peptide antigen	NA	0.010149253731343283	NA	NA	NA	NA	0.008264462809917356	0.008264462809917356	0.008264462809917356	0.008264462809917356	0.008264462809917356	0.008264462809917356	NA	NA	NA	NA	NA	NA	0.006934812760055479	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
antigen processing and presentation of peptide antigen via MHC class I	NA	0.006567164179104477	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0033903529049160116	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
antigen processing and presentation of peptide antigen via MHC class Ib	NA	0.004776119402985075	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
antigen processing and presentation of peptide antigen via MHC class II	0.020618556701030927	NA	NA	NA	NA	NA	0.005619834710743801	0.005619834710743801	0.005619834710743801	0.005619834710743801	0.005619834710743801	0.005619834710743801	NA	NA	NA	NA	NA	NA	0.003852673755586377	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
antigen processing and presentation of peptide or polysaccharide antigen via MHC class II	0.020618556701030927	0.005970149253731343	NA	NA	NA	NA	0.00628099173553719	0.00628099173553719	0.00628099173553719	0.00628099173553719	0.00628099173553719	0.00628099173553719	NA	NA	NA	NA	NA	NA	0.003852673755586377	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
antigen processing and presentation via MHC class Ib	NA	0.004776119402985075	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
antigen receptor-mediated signaling pathway	NA	0.023283582089552238	NA	NA	NA	NA	0.019173553719008266	0.019173553719008266	0.019173553719008266	0.019173553719008266	0.019173553719008266	0.019173553719008266	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
antimicrobial humoral immune response mediated by antimicrobial peptide	NA	0.013134328358208954	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
antimicrobial humoral response	NA	0.017313432835820895	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
antiviral innate immune response	NA	0.00955223880597015	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
aorta development	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.006467661691542288	NA	NA	NA
apoptotic cell clearance	NA	0.007164179104477612	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
apoptotic mitochondrial changes	0.030927835051546393	0.011940298507462687	0.041237113402061855	NA	NA	NA	0.01090909090909091	0.01090909090909091	0.01090909090909091	0.01090909090909091	0.01090909090909091	0.01090909090909091	NA	NA	NA	NA	NA	NA	0.009708737864077669	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
aromatic amino acid family catabolic process	NA	0.00417910447761194	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
aromatic amino acid transport	NA	0.0029850746268656717	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Arp2/3 complex-mediated actin nucleation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.004777315456927107	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
artery development	NA	0.011343283582089553	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
artery morphogenesis	NA	0.008955223880597015	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
associative learning	0.030927835051546393	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
astrocyte activation	NA	0.00417910447761194	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
astrocyte cell migration	NA	0.0023880597014925373	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
astrocyte development	0.020618556701030927	0.007164179104477612	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
astrocyte differentiation	0.041237113402061855	0.011940298507462687	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ATP biosynthetic process	NA	NA	NA	0.010499475026248688	0.010499475026248688	0.008963514707738922	0.013884297520661157	0.013884297520661157	0.013884297520661157	0.013884297520661157	0.013884297520661157	0.013884297520661157	NA	0.011383399209486165	NA	NA	NA	NA	0.012174449067652951	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.010976639459611595	NA	NA
ATP synthesis coupled electron transport	NA	NA	NA	0.010049497525123744	0.010049497525123744	NA	0.012892561983471074	0.012892561983471074	0.012892561983471074	0.012892561983471074	0.012892561983471074	0.012892561983471074	NA	0.009486166007905139	NA	NA	NA	NA	0.01155802126675913	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0106951871657754	NA	NA
