pert	n_reversed_cells	min_score_cell	all_reversed_cells
papaverine	7	VCAP	VCAP, HCC515, A549, ASC, MCF7, PC3, PHH
pinacidil	7	SKB	VCAP, PC3, ASC, PHH, SKB, HCC515, NPC
pioglitazone	7	ASC	FIBRNPC, HA1E, ASC, A549, PHH, NPC, NEU
pizotifen	7	PHH	VCAP, MCF7, ASC, HCC515, PHH, PC3, A549
podophyllotoxin	7	HEPG2	HEPG2, HCC515, PHH, HUH7, A549, SKB, MCF7
pravastatin	7	MCF7	MCF7, A549, PHH, PC3, FIBRNPC, HCC515, VCAP
pregnenolone	7	SKB	A549, SKB, ASC, MCF7, PHH, HA1E, NPC
primidone	7	HA1E	SKB, VCAP, ASC, HCC515, HA1E, MCF7, PHH
procainamide	7	ASC	ASC, SKB, A549, NPC, HA1E, VCAP, PHH
propafenone	7	ASC	PC3, ASC, SKB, HA1E, HCC515, NPC, MCF7
quercetin	7	PHH	SKB, HCC515, HA1E, A549, VCAP, PHH, MCF7
quinidine	7	ASC	A549, PHH, HA1E, FIBRNPC, MCF7, ASC, HCC515
reboxetine	7	HCC515	HCC515, PHH, MCF7, PC3, HA1E, VCAP, SKB
resveratrol	7	MCF7	MCF7, HT29, HCC515, NEU, VCAP, PC3, A375
risperidone	7	HA1E	ASC, HA1E, HCC515, FIBRNPC, A549, NPC, VCAP
ropinirole	7	A549	A549, VCAP, HCC515, MCF7, SKB, PC3, ASC
rutin	7	MCF7	PHH, SKB, PC3, HCC515, MCF7, ASC, HA1E
sulindac	7	NEU	MCF7, NPC, FIBRNPC, NEU, PC3, HEK293T, A375
sulpiride	7	MCF7	MCF7, HCC515, PHH, VCAP, SKB, A549, ASC
tadalafil	7	A549	A549, PC3, HA1E, PHH, NPC, HCC515, SKB
timolol	7	ASC	MCF7, HA1E, ASC, SKB, PHH, PC3, A549
tocainide	7	PC3	PC3, HT29, MCF7, VCAP, A549, HA1E, A375
tofacitinib	7	VCAP	NEU, NPC, VCAP, ASC, SKB, MCF7, A549
tranylcypromine	7	NPC	NPC, A549, A375, HA1E, MCF7, NEU, PC3
trazodone	7	SKB	HA1E, SKB, NEU, PC3, HCC515, ASC, NPC
trimipramine	7	VCAP	HA1E, NPC, MCF7, A549, PC3, HCC515, VCAP
ubenimex	7	NPC	HCC515, HA1E, PC3, MCF7, NPC, VCAP, ASC
valproic-acid	7	NPC	HCC515, NPC, A549, VCAP, PC3, A375, MCF7
vardenafil	7	HA1E	ASC, A549, HA1E, PC3, PHH, MCF7, VCAP
vecuronium	7	PC3	PHH, VCAP, PC3, NPC, MCF7, ASC, SKB
vincristine	7	PHH	ASC, PHH, NEU, VCAP, NPC, MCF7, HCC515
GR-235	6	NEU	NEU, PC3, NPC, MCF7, PHH, A549
afatinib	6	BT20	NEU, MDAMB231, BT20, MCF10A, A549, MCF7
altrenogest	6	HCC515	MCF7, VCAP, SKB, HA1E, HCC515, ASC
ambroxol	6	PC3	NPC, HCC515, MCF7, A549, PC3, PHH
amodiaquine	6	VCAP	VCAP, ASC, HA1E, NPC, PC3, HCC515
amoxapine	6	HCC515	A549, HA1E, HCC515, PHH, PC3, MCF7
anagrelide	6	PC3	A549, HA1E, HCC515, VCAP, NPC, PC3
bepridil	6	PC3	PC3, ASC, A549, NEU, VCAP, MCF7
betaxolol	6	A549	PC3, PHH, A549, MCF7, NPC, SKB
bezafibrate	6	A549	HCC515, A549, PHH, ASC, NPC, FIBRNPC
bifemelane	6	VCAP	HA1E, VCAP, MCF7, HCC515, PC3, NPC
bosutinib	6	FIBRNPC	FIBRNPC, PC3, MCF7, VCAP, PHH, A549
brinzolamide	6	HCC515	HCC515, SKB, ASC, A549, PC3, NPC
carbetocin	6	PC3	MCF7, PC3, NPC, NEU, A549, VCAP
carbinoxamine	6	PHH	PHH, A549, ASC, PC3, HA1E, MCF7
chloroxine	6	NPC	VCAP, ASC, A549, HA1E, PC3, NPC
chlorphenamine	6	HA1E	HA1E, HCC515, PC3, MCF7, ASC, A549
chlorprothixene	6	A549	VCAP, HA1E, MCF7, A549, HCC515, ASC
cholic-acid	6	ASC	ASC, SKB, NPC, PC3, NEU, FIBRNPC
cilnidipine	6	VCAP	A549, NPC, VCAP, HA1E, PC3, PHH
cilostazol	6	ASC	ASC, HCC515, SKB, PC3, A549, VCAP
ciprofibrate	6	PC3	VCAP, PC3, MCF7, ASC, PHH, SKB
citalopram	6	A375	HT29, A375, VCAP, PC3, MCF7, A549
clemastine	6	PC3	PHH, A549, VCAP, NPC, PC3, HA1E
dextromethorphan	6	HA1E	HA1E, NEU, PC3, MCF7, A549, ASC
dicycloverine	6	HA1E	HCC515, HA1E, PC3, PHH, NPC, VCAP
dienestrol	6	SKB	MCF7, HEPG2, NPC, A375, HCC515, SKB
diethylcarbamazine	6	VCAP	NPC, HCC515, PHH, VCAP, MCF7, PC3
diflunisal	6	PC3	ASC, MCF7, HCC515, PC3, SKB, VCAP
digitoxin	6	MCF7	ASC, NPC, A549, PHH, HCC515, MCF7
digoxin	6	PHH	ASC, PHH, A549, PC3, HA1E, MCF7
dihydroergotamine	6	SKB	ASC, PC3, A549, SKB, A375, NPC
dipivefrine	6	A375	HA1E, A375, PC3, VCAP, HT29, MCF7
dopamine	6	FIBRNPC	NPC, FIBRNPC, VCAP, PC3, SKB, MCF7
doxepin	6	PC3	MCF7, HCC515, A549, PC3, NPC, VCAP
doxercalciferol	6	MCF7	MCF7, ASC, PC3, A549, SKB, VCAP
etacrynic-acid	6	A549	A375, HA1E, A549, PC3, VCAP, MCF7
fenoldopam	6	NPC	NPC, SKB, VCAP, HA1E, A549, PHH
fexofenadine	6	MCF7	HA1E, MCF7, A549, ASC, VCAP, PHH
fipronil	6	PC3	PC3, SKB, PHH, HA1E, ASC, VCAP
flecainide	6	ASC	SKB, ASC, HA1E, HCC515, NPC, PHH
fluconazole	6	NPC	MCF7, HCC515, PC3, PHH, VCAP, NPC
flunarizine	6	PC3	PC3, A549, MCF7, NEU, SKB, VCAP
fluorometholone	6	HA1E	A375, HA1E, A549, VCAP, MCF7, HT29
fluoxetine	6	HA1E	A549, MCF7, HA1E, HT29, PC3, NPC
fluvoxamine	6	PC3	HCC515, NPC, PC3, VCAP, NEU, A549
formoterol	6	NEU	SKB, PC3, A549, NEU, MCF7, HCC515
gabexate	6	PHH	HCC515, PHH, VCAP, MCF7, SKB, ASC
gefitinib	6	ASC	MCF10A, PC3, HS578T, SKB, ASC, NPC
gemfibrozil	6	NPC	HA1E, HT29, NPC, A375, A549, PC3
hesperidin	6	MCF7	MCF7, VCAP, HCC515, ASC, A549, PHH
hexylcaine	6	PC3	NPC, PC3, ASC, HCC515, VCAP, SKB
homatropine	6	HT29	A375, A549, VCAP, HT29, MCF7, PC3
hydroquinidine	6	HCC515	HCC515, SKB, PHH, ASC, NPC, MCF7
icosapent	6	MCF7	PC3, MCF7, NPC, A549, NEU, FIBRNPC
leflunomide	6	PC3	PC3, HCC515, VCAP, A549, ASC, MCF7
lisuride	6	NPC	A549, NEU, NPC, PC3, VCAP, MCF7
lypressin	6	SKB	VCAP, ASC, PHH, SKB, NEU, A549
mebeverine	6	PC3	PC3, A549, SKB, MCF7, VCAP, HCC515
megestrol	6	HA1E	VCAP, HA1E, MCF7, A375, PC3, A549
mepyramine	6	HCC515	ASC, HCC515, MCF7, PC3, NPC, VCAP
mestranol	6	PC3	PC3, A549, NPC, PHH, ASC, HA1E
methantheline	6	PHH	ASC, HCC515, PHH, A549, MCF7, NPC
methysergide	6	VCAP	SKB, HA1E, PHH, VCAP, MCF7, PC3
midodrine	6	ASC	SKB, ASC, MCF7, NPC, HA1E, PHH
mifepristone	6	NPC	NPC, PHH, A549, PC3, SKB, MCF7
moexipril	6	PHH	MCF7, PHH, HA1E, ASC, NPC, VCAP
molindone	6	HA1E	A375, MCF7, PC3, HA1E, HT29, VCAP
mosapride	6	VCAP	ASC, PHH, PC3, VCAP, A549, SKB
nicardipine	6	HCC515	VCAP, HCC515, PC3, MCF7, A549, A375
nortriptyline	6	ASC	NPC, MCF7, SKB, ASC, VCAP, PC3
orphenadrine	6	A549	NPC, A549, SKB, PHH, ASC, MCF7
oxibendazole	6	MCF7	VCAP, SKB, ASC, PC3, MCF7, PHH
oxybenzone	6	SKB	MCF7, SKB, PHH, PC3, HCC515, A549
oxybuprocaine	6	PC3	PC3, HA1E, HCC515, SKB, A549, ASC
paclitaxel	6	ASC	VCAP, NPC, PHH, A549, ASC, MCF7
palmitoylethanolamide	6	MCF7	NPC, A549, PC3, MCF7, HCC515, ASC
parachlorophenol	6	VCAP	MCF7, VCAP, A549, SKB, PHH, PC3
perhexiline	6	PC3	A549, A375, HA1E, PC3, MCF7, VCAP
perindopril	6	PC3	MCF7, HCC515, PC3, HA1E, SKB, PHH
phenoxybenzamine	6	HA1E	MCF7, A549, HA1E, SKB, HCC515, ASC
pipamperone	6	PHH	PHH, HA1E, PC3, HCC515, MCF7, VCAP
piroxicam	6	NPC	HCC515, ASC, VCAP, HA1E, PC3, NPC
prednicarbate	6	PC3	PC3, PHH, MCF7, VCAP, ASC, A549
primaquine	6	A549	PC3, PHH, VCAP, A549, MCF7, ASC
probenecid	6	VCAP	PC3, SKB, VCAP, PHH, ASC, HCC515
procaterol	6	NEU	VCAP, NEU, PC3, A549, HCC515, ASC
profenamine	6	A549	A549, HA1E, PC3, A375, VCAP, HT29
proguanil	6	MCF7	NPC, VCAP, PC3, MCF7, PHH, HA1E
propentofylline	6	VCAP	A375, A549, PC3, HT29, MCF7, VCAP
raclopride	6	NEU	ASC, NEU, HA1E, PC3, MCF7, VCAP
raloxifene	6	A375	SKB, A375, HT29, MCF7, NPC, HEPG2
raltitrexed	6	PC3	NEU, PC3, MCF7, VCAP, A549, SKB
retinol	6	A549	VCAP, PHH, MCF7, A549, PC3, SKB
riboflavin	6	SKB	HCC515, SKB, A549, ASC, MCF7, VCAP
rifabutin	6	A549	A549, PC3, NPC, SKB, VCAP, NEU
saquinavir	6	A549	A549, SKB, MCF7, ASC, PHH, HA1E
sitagliptin	6	ASC	PC3, ASC, NEU, A549, MCF7, SKB
spiperone	6	SKB	SKB, A549, FIBRNPC, HA1E, NEU, ASC
sunitinib	6	VCAP	PHH, ASC, VCAP, PC3, A549, MCF7
tacrolimus	6	MCF7	NPC, SKB, MCF7, ASC, A549, VCAP
talniflumate	6	NPC	HCC515, ASC, PHH, SKB, A549, NPC
terconazole	6	SKB	NEU, MCF7, SKB, NPC, PC3, A549
thioproperazine	6	HCC515	ASC, A549, SKB, MCF7, PC3, HCC515
trapidil	6	VCAP	SKB, VCAP, HA1E, NPC, PC3, A549
tretinoin	6	NPC	NPC, PHH, A549, NEU, U937, ASC
triclosan	6	HA1E	PHH, ASC, SKB, HA1E, MCF7, A549
trifluoperazine	6	FIBRNPC	PC3, FIBRNPC, HCC515, HA1E, NEU, A549
tropicamide	6	PC3	PC3, HA1E, MCF7, HT29, A549, A375
tubocurarine	6	PC3	HA1E, PC3, A549, ASC, SKB, VCAP
venlafaxine	6	PHH	PHH, HA1E, MCF7, SKB, PC3, ASC
vinpocetine	6	MCF7	MCF7, PHH, SKB, PC3, VCAP, A549
voriconazole	6	NPC	SKB, A549, NEU, PHH, ASC, NPC
yohimbine	6	NPC	HA1E, HT29, NPC, ASC, A375, MCF7
acamprosate	5	NPC	ASC, PC3, NPC, PHH, MCF7
alimemazine	5	HT29	HT29, HA1E, PC3, A375, MCF7
alprenolol	5	PC3	HCC515, PC3, MCF7, ASC, VCAP
azasetron	5	ASC	MCF7, A549, ASC, HA1E, PHH
benazepril	5	HA1E	SKB, HA1E, A549, HCC515, VCAP
benzthiazide	5	VCAP	SKB, A549, ASC, PHH, VCAP
benzylpenicillin	5	VCAP	HCC515, PC3, ASC, VCAP, SKB
betamethasone	5	ASC	VCAP, PHH, ASC, A549, HA1E
bicalutamide	5	MCF7	MCF7, ASC, NPC, HCC515, PHH
biotin	5	HCC515	A549, NPC, MCF7, HCC515, VCAP
brimonidine	5	SKB	A549, NEU, HA1E, SKB, PC3
buphenine	5	MCF7	VCAP, A549, MCF7, PC3, NPC
butoconazole	5	PC3	PC3, MCF7, VCAP, NPC, HCC515
caffeine	5	A549	A549, PC3, NEU, FIBRNPC, NPC
calcipotriol	5	VCAP	VCAP, A375, MCF7, PC3, HA1E
calcitriol	5	CD34	CD34, MCF7, PC3, FIBRNPC, U937
carbenoxolone	5	VCAP	HCC515, ASC, VCAP, MCF7, PHH
carbidopa	5	PC3	PC3, VCAP, A549, NKDBA, NPC
carteolol	5	PC3	HCC515, A549, PC3, SKB, PHH
cinacalcet	5	A549	NPC, NEU, A549, PC3, VCAP
clofarabine	5	MCF7	MCF7, NPC, A549, PC3, ASC
clofibric-acid	5	MCF7	MCF7, PC3, NPC, FIBRNPC, A549
cyclopentolate	5	HCC515	HCC515, PC3, PHH, NPC, VCAP
dantrolene	5	PC3	ASC, A549, HA1E, PC3, PHH
deoxycholic-acid	5	NEU	SKB, MCF7, NPC, FIBRNPC, NEU
desipramine	5	HA1E	HA1E, ASC, MCF7, PC3, SKB
dexamethasone	5	SKB	SKB, FIBRNPC, ASC, HT29, NPC
diazoxide	5	NPC	HCC515, HA1E, PC3, NPC, VCAP
dipyridamole	5	HCC515	HCC515, ASC, NPC, MCF7, PHH
dobutamine	5	VCAP	SKB, VCAP, NPC, PHH, A549
docetaxel	5	NEU	NEU, SKB, VCAP, NPC, MCF7
domperidone	5	A549	PC3, ASC, VCAP, HA1E, A549
donepezil	5	A549	A549, HCC515, ASC, VCAP, MCF7
dosulepin	5	ASC	ASC, A549, PHH, PC3, NPC
doxylamine	5	HCC515	PHH, MCF7, PC3, HCC515, VCAP
eplerenone	5	HCC515	HCC515, ASC, MCF7, PC3, SKB
estriol	5	PHH	HEPG2, HCC515, PHH, HT29, HA1E
